Organization Name,Organization Name URL,Headquarters Location,Full Description,Operating Status,Company Type,Last Funding Type,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Industries
Galactiv,https://www.crunchbase.com/organization/galactiv,"Austin, Texas, United States",Galactiv is enabling sustainable commercial activities in outer space through satellite servicing and salvage operations. We enable the continued operation of existing assets and create additional revenue generation opportunities for satellite operators. Our services also provide an affordable source of raw materials for on-orbit manufacturing companies and other space infrastructure developers.,Active,For Profit,,,2021-02-01,day,"Aerospace, National Security, Space Travel"
Beacon AI,https://www.crunchbase.com/organization/beacon-ai,"San Francisco, California, United States",Beacon AI is building the future of flight safety for commercial and private fleets.,Active,For Profit,Seed,,2021-01-01,year,"Air Transportation, Artificial Intelligence, Big Data"
Revv Aviation,https://www.crunchbase.com/organization/revv-aviation,"Sugar Grove, Illinois, United States",,Active,For Profit,,,2022-01-01,year,"Aerospace, Education, Training"
Ravati Aerospace,https://www.crunchbase.com/organization/ravati-aerospace,"Norcross, Georgia, United States","Our flagship product is a modern UAV design using existing aerodynamic and mechanical design. Currently the UAV industry has attempted to use current technologies and apply them to a new problem. However, what should and needs to be done is use current technology in a new and innovative fashion. We're using modern methodology and technique to view the box from a different perspective without breaking principles. Our technology implies high factors of improvement in the areas of range, and maneuverability while combining the advantages of fixed wing and rotary wing flight dynamics without the negative effects of each. The true engineering is putting all the components together not simply to make a UAV but a robotic aerial vehicle that will usher us into a new frontier of possibility and infrastructure.",Active,For Profit,,,2021-05-01,month,"Aerospace, Air Transportation, Automotive, Autonomous Vehicles, Drone Management, Drones, Last Mile Transportation, Logistics, Robotics, Transportation"
A-BRIDGE,https://www.crunchbase.com/organization/a-bridge-c9d8,"Indianapolis, Indiana, United States","A-BRIDGE is a passenger boarding bridge refurbishment and installation company. They provide passenger boarding bridges, passenger refurbishment, maintenance, and relocation services. The company is developing the link for airports and airlines around passenger boarding bridges by provide component support, upkeep services, and complete boarding bridge renovations.",Active,For Profit,,,2022-01-01,year,"Aerospace, Consulting, Industrial, Product Design"
Estes Energetics,https://www.crunchbase.com/organization/estes-energetics,"Penrose, Colorado, United States","Estes Energetics offers solid rocket motors and aerospace systems. Their services include rocket motors, aerospace, research and development, aerospace propulsion, vehicle, and system design, system integration, composites, propulsion, hardware testing, aircraft launch, tractor rockets, tactical rockets and missiles, target rockets, cube sats, and small spacecraft.",Active,For Profit,,,2021-01-01,year,"Aerospace, Industrial, Manufacturing"
Welojets,https://www.crunchbase.com/organization/welojets,"Miami, Florida, United States",,Active,For Profit,,,2021-08-01,month,"Aerospace, Air Transportation, Leisure, Travel"
Overhead Intelligence,https://www.crunchbase.com/organization/overhead-intelligence,"Winter Haven, Florida, United States","Overhead Intelligence is a disruptive Geospatial data company, specializing in aerial mapping using drones.",Active,For Profit,,Black / African American Led,2021-05-05,day,"Aerospace, Analytics, Drones, Geospatial, Software"
Uniform Sierra Aerospace,https://www.crunchbase.com/organization/uniform-sierra-aerospace,"West Lafayette, Indiana, United States","Uniform Sierra aims to revolutionize the way Public Safety Officials use drones by creating the adaptability, usability, and cost effectiveness drones will require in the coming decade. We're bringing around the next generation of user-friendly small unmanned aircraft systems (sUAS) through our fast, modern design process and startup mindset.",Active,For Profit,,,2021-04-04,day,"Aerospace, Drones, Manufacturing, Robotics"
7x4flights,https://www.crunchbase.com/organization/7x4flights,"Sheridan, Wyoming, United States",,Active,For Profit,,,2021-01-01,year,"Air Transportation, Hotel, Travel Accommodations, Travel Agency, Vacation Rental"
Airspace Data,https://www.crunchbase.com/organization/airspace-data,"Chicago, Illinois, United States","Airspace Data provides an automated, auditable airspace data sharing solution.",Active,For Profit,,,2021-01-01,year,"Aerospace, Analytics, Information Technology"
"Atlantis Industries, Inc.",https://www.crunchbase.com/organization/atlantis-industries-inc,"San Antonio, Texas, United States","Atlantis Industries, Inc. is a 3D systems modeling, simulation, and engineering company powered by artificial intelligence. Founded 2020 and is based in San Antonio, Texas.",Active,For Profit,,,2021-01-01,year,"Aerospace, Artificial Intelligence, Manufacturing"
OrbitsHub,https://www.crunchbase.com/organization/orbitshub,"San Francisco, California, United States","OrbitsHub is a technology startup providing Tracking and Monitoring end-to-end solutions using Automation, Artificial Intelligence & Machine Learning tools. Our technology will be serving worldwide customers by empowering them with our intelligent solutions.",Active,For Profit,,,2021-08-01,day,"Aerospace, Artificial Intelligence, Machine Learning, Satellite Communication, Software, Space Travel"
Safe Air Mobility,https://www.crunchbase.com/organization/safe-air-mobility,"Mishawaka, Indiana, United States",Safe Air Mobility (SAM) provides tailored insurance and safety solutions for drones & eVTOLs. SAM offers safety assessment for drone & eVTOL operations and evaluates risks of drone & eVTOL flights in any environment.,Active,For Profit,,,2022-01-01,month,"Air Transportation, Insurance, InsurTech"
Ryse Aerotech,https://www.crunchbase.com/organization/ryse-aerotech,"Mason, Ohio, United States",Ryse Aerotech develops and builts ultralight Electric Vertical Takeoff & Landing vehicles (eVOLT) vehicles - RYSE RECON.,Active,For Profit,,,2021-01-01,year,"Aerospace, Information Technology"
Aviation.One,https://www.crunchbase.com/organization/aviation-one,"Mesa, Arizona, United States",,Active,For Profit,,,2022-01-01,day,"Aerospace, Angel Investment, Funding Platform"
NANCo Aero,https://www.crunchbase.com/organization/nanco-aero,"Houston, Texas, United States","NANCo Aero provides products such as advanced air vehicles and drones that are built for reliability and feature services such as research and development, product development, and skills and technology consulting. Their modern aircraft transports its passengers to their destination via pilot, remote pilot, and autonomous systems.",Active,For Profit,,,2021-01-01,year,"Aerospace, Air Transportation, Customer Service, Drones"
Aerovek Aviation,https://www.crunchbase.com/organization/aerovek-aviation,"Chico, California, United States","aerovek aviation offers a host of features that made building on their blockchain the clear choice for aerovek aviation, and support for android and ios,  that is making private aviation accessible to anyone and provides social economic services.",Active,For Profit,,,2021-01-01,year,"Aerospace, Blockchain, Sharing Economy, Social"
Overview Energy,https://www.crunchbase.com/organization/overview-energy,"Washington, District of Columbia, United States",,Active,For Profit,Undisclosed,,2022-01-01,year,"Aerospace, Hardware, Satellite Communication"
WorkForYourWorld.com,https://www.crunchbase.com/organization/oneminute-2,"San Francisco, California, United States",,Active,For Profit,,,2021-02-01,day,"Aerospace, Communities, Content Discovery, Content Marketing, Recruiting, Software, Sustainability, Video"
Ocean Blue Express,https://www.crunchbase.com/organization/ocean-blue-express,"Compton, California, United States",,Active,For Profit,,,2021-01-01,year,"Air Transportation, Freight Service, Transportation, Warehousing"
Hanwha Cimarron,https://www.crunchbase.com/organization/hanwha-cimarron,"Opelika, Alabama, United States","Hanwha Cimarron offers hydrogen filling stations and plans to expand into tanks. They offer aerospace applications and cargo ships carrying liquefied natural gas. they also offer optimised solutions catered to aerospace, aviation, drone, and marine applications. Their services include covering various applications, from oxygen flasks to storage for shipping vessels.",Active,For Profit,,,2021-01-01,year,"Aerospace, Marine Transportation, Oil and Gas"
Beech Systems,https://www.crunchbase.com/organization/beech-systems,"Los Angeles, California, United States",Beech Systems is a stealth-mode startup that creates solutions and products to transform the aerospace industry.,Active,For Profit,,,2022-01-01,year,"Aerospace, Industrial Engineering, Information and Communications Technology (ICT)"
AeroConsummate Advisors,https://www.crunchbase.com/organization/aeroconsummate-advisors,"Dallas, Texas, United States","AeroConsummate Advisors provides business aviation, commercial, military, applications, propulsion MRO manufacturing, global supply chain, asset management planning, engineering, product development, component repair, aviation regulatory, and trade compliance services.",Active,For Profit,,,2022-01-01,year,"Advice, Aerospace, Commercial"
WingIt,https://www.crunchbase.com/organization/wingit-32cd,"Jacksonville, Florida, United States",,Active,For Profit,,,2021-01-01,month,"Aerospace, Mobile Apps, Travel"
Luxury Rides,https://www.crunchbase.com/organization/luxury-rides,"Denver, Colorado, United States",,Active,For Profit,,,2022-01-01,year,"Air Transportation, Events, Transportation"
Happy Takeoff,https://www.crunchbase.com/organization/happy-take-off,"Dallas, Texas, United States",,Active,For Profit,,,2021-01-01,day,Aerospace
"Cyclo Technologies, Inc.",https://www.crunchbase.com/organization/cyclo-technologies-inc,"Roswell, Georgia, United States",Space Electronics Design,Active,For Profit,,,2022-02-28,day,Aerospace
Giuseppe Space Enterprises,https://www.crunchbase.com/organization/giuseppe-space-enterprises,"Colorado Springs, Colorado, United States",,Active,For Profit,,,2022-01-01,year,"Aerospace, Commercial"
Stella Jets,https://www.crunchbase.com/organization/stella-jets,"Southlake, Texas, United States",,Active,For Profit,,,2021-01-01,year,"Aerospace, Air Transportation, Travel"
Legacy Flight Group,https://www.crunchbase.com/organization/legacy-flight-group,"Orlando, Florida, United States",,Active,For Profit,,,2022-01-01,year,"Air Transportation, Transportation, Travel"
Avionic,https://www.crunchbase.com/organization/avionic,"Houston, Texas, United States","Avionic is a Houston-based C-Corp that provides a technology solution to increase efficiency in real-time through digital twins, thus determining patterns and trends in intelligent mobility and its potential changes. It is essential that the future of our mobility will be autonomous, connected, and with zero emissions, but air travel is difficult to access for people and highly polluting. We want to make these services easy to access and sustainable, creating a management assistant that optimizes resources and time through a digital simulation environment. Zero is Avionic's end-to-end decarbonization solution, with a carbon-credit trading platform to meet climate disclosure requests and support the progress to net-zero. Pass is Avionic's payments management solution with a quick access tool in travels, helping to access without complex logs and optimize time for a better user experience.",Active,For Profit,,,2021-09-09,day,"Air Transportation, Biofuel, Energy Efficiency, Information Technology, Mobile Payments, Renewable Energy, Simulation, Smart Cities"
NorthLink Aviation,https://www.crunchbase.com/organization/northlink-aviation,"Anchorage, Alaska, United States",NorthLink Aviation holds a 55-year lease for the 120-acre South Park Campus and is developing critical airport infrastructure at the site to support growing cargo volumes at ANC.,Active,For Profit,Venture - Series Unknown,,2021-01-01,year,"Aerospace, Air Transportation"
Avatrade,https://www.crunchbase.com/organization/avatrade-b181,"Coral Gables, Florida, United States","Avatrade is the transparent e-commerce marketplace to help airlines and repair facilities purchase the best part at the best price, and reduce aircraft downtime and lost revenue.",Active,For Profit,,,2021-03-03,day,"Aerospace, E-Commerce, Marketplace"
Internet of Hardware,https://www.crunchbase.com/organization/internet-of-hardware,"Anaheim, California, United States","Browse our database for access to billions of new, used, and obsolete items. Owned and operated by ASAP Semiconductor, Internet of Hardware is a comprehensive parts procurement platform that combines ease of search with rapid lead times and responsive customer support to make the process effortless. In addition, our advanced information management capabilities allow customers to submit an instant RFQ all while browsing our database of trusted MROs, FBOs, airports, and more.",Active,For Profit,,,2021-10-10,day,Aerospace
Commonwealth Commuter Airways,https://www.crunchbase.com/organization/commonwealth-commuter-airways,"Worcester, Massachusetts, United States",,Active,For Profit,,,2021-01-01,year,"Aerospace, Air Transportation, Customer Service, Freight Service, Travel"
JACAL,https://www.crunchbase.com/organization/jacal,"Reno, Nevada, United States","JACAL supports the needs of commercial and DoD projects and services. They business sectors such as engineering and technology sectors of the business includes, aeronautical and aerospace engineering, fixed plane and rotorcraft data collection, cabin management and IFE systems, missile defense, and more.",Active,For Profit,,,2021-04-01,month,"Aerospace, Management Consulting, Military"
Inzed,https://www.crunchbase.com/organization/inzed,"Warner Robins, Georgia, United States",,Active,For Profit,,,2021-04-01,month,"Aerospace, Transportation"
Nomadic,https://www.crunchbase.com/organization/nomadic-04c1,"Dover, Delaware, United States","Nomadic conducts and completes aircraft acceptance profiles, lease return demonstrations, STC or certification flights, proving runs, post-PTF-conversion flight checks, and customer rep observation flights worldwide with a team consisting of highly experienced civilian and military-trained test-pilots.",Active,For Profit,,,2021-01-01,year,"Aerospace, Air Transportation, Commercial, Delivery"
SPACECO,https://www.crunchbase.com/organization/spaceco,"Ames, Iowa, United States",,Active,For Profit,,,2021-01-01,month,"Aerospace, Construction, Industrial"
PortaPilot,https://www.crunchbase.com/organization/portapilot,"Lake Forest Park, Washington, United States","PortaPilot provides aviation and aerospace components. They offer aircraft, power requirements, yoke extensions, and GPS devices, both panel mounted and portable. The company's contact modes are by mail, phone, and physical address.",Active,For Profit,,,2021-01-01,year,"Aerospace, Electronics, Retail"
WINGiT,https://www.crunchbase.com/organization/wingit-5b64,"Florida, New York, United States",,Active,For Profit,,,2021-01-01,month,"Aerospace, Mobile, Mobile Apps"
Ameriflight Components and Exchanges,https://www.crunchbase.com/organization/ameriflight-components-and-exchanges,"Dallas, Texas, United States",Ameriflight Components and Exchanges is a supplier of aircraft parts. They provide customers with reliable products on time and at an affordable price. They also offer tailor-made services within the supply chain.,Active,For Profit,,,2021-01-01,year,"Aerospace, Manufacturing, Supply Chain Management, Wholesale"
Aircraft Structures Group,https://www.crunchbase.com/organization/aircraft-structures-group,"Nashville, Tennessee, United States",,Active,For Profit,,,2021-01-01,year,"Aerospace, Industrial, Mechanical Engineering"
Aleutian Airways,https://www.crunchbase.com/organization/aleutian-airways,"Anchorage, Alaska, United States",,Active,For Profit,,,2021-01-01,year,"Air Transportation, Reservations, Travel Agency"
Rivas Aviation,https://www.crunchbase.com/organization/rivas-aviation,"Las Vegas, Nevada, United States","Rivas Aviation provides intermediate and advanced flight training, and aircraft acquisition services. They offer handle your aircraft acquisition requirements. Their service includes consultation and flight, flight training, personal support, and post-training support services.",Active,For Profit,,,2021-01-01,year,"Aerospace, Air Transportation, Consulting, Training"
Fly0kart,https://www.crunchbase.com/organization/fly0kart,"Hicksville, New York, United States",,Active,For Profit,,,2021-01-01,year,"Air Transportation, Ticketing, Transportation"
