Organization Name,Organization Name URL,Headquarters Location,Full Description,Operating Status,Company Type,Last Funding Type,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Industries
Hawker Pacific Aerospace,https://www.crunchbase.com/organization/hawker-pacific-aerospace,"Sun Valley, California, United States","Hawker Pacific repairs and overhauls aircraft and helicopter landing gear, hydromechanical components and wheels, brakes and braking system components for a diverse international customer base, including commercial airlines, air cargo operators, domestic government agencies, aircraft  leasing companies, aircraft parts distributors and OEMs.",Active,For Profit,,,1912-01-01,year,"Aerospace, Automotive, Government, Manufacturing"
EDAC Technologies Corp.,https://www.crunchbase.com/organization/edac-technologies-corp,"Farmington, Connecticut, United States","EDAC Technologies Corp. is a diversified manufacturing company serving the aerospace and industrial markets. EDAC offers design and manufacturing services for commercial and military aircraft, in such areas as jet engine parts, special tooling, equipment, gauges and components used in the manufacture, assembly and inspection of jet engines.",Active,For Profit,,,1946-01-01,year,"Aerospace, Manufacturing"
E.V. Roberts,https://www.crunchbase.com/organization/e-v-roberts,"Arlington, Texas, United States","E.V. Roberts distributes, formulates, and packages specialty chemicals to the aerospace and other advanced manufacturing markets.",Active,For Profit,,,1938-01-01,year,"Advanced Materials, Aerospace, Chemical, Consumer Electronics, Electronics, Manufacturing"
LMI Aerospace,https://www.crunchbase.com/organization/lmi-aerospace,"St. Charles, Missouri, United States","LMI Aerospace, Inc. is a leading provider of structural components, assemblies and kits to the aerospace, defense and technology industries. LMI Aerospace, Inc.  fabricate, machine, finish and integrate formed, close tolerance aluminum and specialty alloy components and sheet metal products primarily for large commercial, corporate and military aircraft.  LMI Aerospace, Inc.  manufacture more than 30,000 products for integration into a variety of aircraft platforms manufactured by leading original equipment manufacturers, referred to as OEMs, and Tier 1 aerospace suppliers.",Active,For Profit,,,1948-01-01,year,"Aerospace, Air Transportation, Manufacturing"
Davis Aircraft Products,https://www.crunchbase.com/organization/davis-aircraft-products-co-inc,"Bohemia, New York, United States","Davis Aircraft Products manufactures safety tie-down and cargo control products for aviation-related fields in the commercial and military markets. They offer passenger aircraft restraints, including aircraft seat belts and passenger restraint components, and cargo restraint systems, such as cargo nets, high-strength tie-downs, chain gear, web assemblies, litter cot systems, cargo restraint components, and helicopter slings and pendants.",Active,For Profit,Grant,,1951-01-01,year,"Aerospace, Industrial, Manufacturing"
Meyer Tool,https://www.crunchbase.com/organization/meyer-tool,"Cincinnati, Ohio, United States",,Active,For Profit,,,1951-01-01,day,"Aerospace, Commercial, Electronics, Industrial, Machinery Manufacturing, Manufacturing"
Raychem Corporation,https://www.crunchbase.com/organization/raychem-corporation,"Menlo Park, California, United States","Raychem Corporation develops products and services related to industries such as aerospace, automotives, and telecommunications. It has developed products such as radiation chemistry, heat-shrink tubing, touchscreens, and more. Raychem Corporation was established in 1957 by Paul Cook, James B. Meikle, and Richard W. Muchmore. It is based in Menlo Park, California.",Active,For Profit,,,1957-01-01,year,"Aerospace, Automotive, Product Design, Telecommunications"
VACCO Industries,https://www.crunchbase.com/organization/vacco-industries,"South El Monte, California, United States","VACCO Industries provides intelligent fluid control solutions for propulsion and life support systems. The company manufactures specialty valves, filters, and advanced fluid control products that deliver innovative engineered solutions to critical missions for defense, space, and commercial markets. VACCO Industries maintains an effective management system to guarantee that the products and services meet all specified customer requirements. VACCO Industries was founded on 1954 and is headquartered in South El Monte, California.",Active,For Profit,,,1954-01-01,year,"Aerospace, Commercial, Industrial, Machinery Manufacturing, Manufacturing, Space Travel"
"Boeing Defense, Space & Security",https://www.crunchbase.com/organization/boeing-defense-space-security,"St Louis, Missouri, United States","Boeing Defense, Space & Security (BDS) formerly known as Boeing Integrated Defense Systems (IDS) is a unit of The [Boeing Company](http://www.crunchbase.com/organization/boeing)  responsible for defense and aerospace products and services. Boeing Integrated Defense Systems was formed in 2002 by combining the former ""Military Aircraft and Missile Systems"" and ""Space and Communications"" divisions. Boeing Defense, Space & Security makes Boeing the second-largest defense contractor in the world and was responsible for 45% of the company's income in 2011. BDS is based in Berkeley, Missouri, near the city of St. Louis. Boeing was the largest employer in St. Louis County in 2000. Boeing Defense, Space & Security is a consolidated group which brought together major names in aerospace; Boeing Military Airplane Company; Hughes Satellite Systems; Hughes Helicopters minus the commercial helicopter products (which were divested as MD Helicopters); Piasecki Helicopter, subsequently known as Boeing Vertol and then Boeing Helicopters; the St. Louis-based McDonnell division of the former McDonnell Douglas Company; and the former North American Aviation division of Rockwell International.",Active,For Profit,,,1939-01-01,year,"Aerospace, Cyber Security, National Security, Security"
Federal Aviation Administration,https://www.crunchbase.com/organization/federal-aviation-administration,"Washington, District of Columbia, United States","In August 1958, more than 50 years after the Wright brothers gave life to the age-old dream of flight, the FAA was created to usher in the Jet Age of commercial air transportation. Over the next five decades and up to the present day, the FAA has served as both an overseer and proponent of advancements in aviation that continue to push the limits of science and technology.  Today we're on the leading edge of a new frontier in commercial space transportation, building the next generation (NextGen) of satellite-based navigation systems, and fostering the safe integration of unmanned aerial systems into our airspace. We can only dream of what the next 50 years of American ingenuity will look like, but the employees of the FAA will be working to ensure that the United States continues to lead the world in aerospace safety and innovation.",Active,For Profit,,,1958-02-01,day,"Aerospace, Automotive, Government, Navigation, Transportation"
RDU,https://www.crunchbase.com/organization/rdu,"Morrisville, North Carolina, United States",,Active,For Profit,,,1939-01-01,day,"Aerospace, Service Industry, Transportation"
Kearfott Corporation,https://www.crunchbase.com/organization/kearfott-corporation,"Woodland Park, Colorado, United States","Kearfott Corporation, a 100% American owned company, was founded in 1918 as a State of New Jersey Corporation and was registered as a Delaware Corporation on December 22, 1987. Kearfott’s primary business is the development and manufacture of guidance, navigation, and motion control components and systems for military and commercial applications. Kearfott Corporation is a wholly owned subsidiary of Astronautics Corporation of America registered in the State of Wisconsin on May 21, 1959. Astronautics is also a 100% American owned company.",Active,For Profit,,,1918-01-01,year,Aerospace
Jet Propulsion Laboratory,https://www.crunchbase.com/organization/jet-propulsion-laboratory,"Pasadena, California, United States","Jet Propulsion Laboratory is a federally funded research and development center and NASA field center for the construction and operation of robotic planetary spacecrafts and the operation of NASA's Deep Space Network. It is currently engaged in projects such as the Mars Science Laboratory mission, the Cassini–Huygens mission orbiting Saturn, the Mars Exploration Rover Opportunity, the Mars Reconnaissance Orbiter, the Dawn mission to the dwarf planet Ceres and asteroid Vesta, the Juno spacecraft en route to Jupiter, the Nuclear Spectroscopic Telescope Array (NuSTAR) X-ray telescope, and the Spitzer Space Telescope. Its space flight operations facility and twenty-five-foot space simulator are designated national historic landmarks Jet Propulsion Laboratory is managed by the California Institute of Technology (Caltech) for the National Aeronautics and Space Administration. It was formed in October 31, 1936, based in La Cañada Flintridge, California.",Active,For Profit,,,1936-01-01,day,"Aerospace, Construction, National Security, Robotics, Space Travel"
Valcor Engineering Corporation,https://www.crunchbase.com/organization/valcor-engineering-corporation,"Springfield, Missouri, United States",,Active,For Profit,,,1951-01-01,year,"Aerospace, Manufacturing, Military, Product Design"
ADB Airfield Solutions,https://www.crunchbase.com/organization/adb-airfield-solutions,"Ohio City, Ohio, United States","Airfield Ground Lighting Products: Most comprehensive product range on the market, from LED taxiway light, guidance signs and solar to microprocessor controlled constant current regulator Airside Solutions: Design, engineering and integration of various airside systems to provide a customer-tailored ground movement solution - from the smallest airports to the major hubs Customer Services: Prompt customer assistance and service for consultancy, training, supervision, testing, commissioning and maintenance",Active,For Profit,,,1947-01-01,year,"Air Transportation, Computer, Information Technology, Lighting, Manufacturing, Software, Solar"
Kaiser Aluminum Corporation,https://www.crunchbase.com/organization/kaiser-aluminum-corporation,"Foothill Ranch, California, United States","Kaiser Aluminum Corporation is engaged in the production of semi-fabricated specialty aluminum products and operates in fabricated products segment. In addition to the Fabricated Products segment, it has two business units, Secondary Aluminum and Corporate and Other. The Secondary Aluminum business unit sells products, such as ingot and billet, produced by Anglesey Aluminium Limited, in which it has a 49% equity investment and which owns and operates a secondary aluminum remelt and casting facility in Holyhead, Wales. Corporate and Other business unit provides general and administrative support for its operations. Through its 12 focused production facilities in North America, it manufactures rolled, extruded, and drawn aluminum products to serve four market applications: aerospace and high strength products (Aero/HS products), general engineering products (GE products), extrusions for automotive applications (Automotive Extrusions), and other industrial products (Other products).",Active,For Profit,,,1946-01-01,year,"Aerospace, Automotive, Industrial, Manufacturing"
Arinc,https://www.crunchbase.com/organization/arinc,"Annapolis, Maryland, United States","ARINC is founded on capabilities that consistently redefine innovation, efficiency, and cost optimization, with more than 80 years of focused perspective created from supporting globally important markets—Aviation, Transportation, Security, Government, and Aerospace. ARINC supports over 15,000 aircraft, 300 airlines, 150 airports, 200 train systems, over half of North America's nuclear power plants and other critical national infrastructure, and over a dozen military aircraft platforms as a leader and visionary in communications, engineering, and systems integration. ARINC takes on some of our customers' most difficult challenges and offers world-class capabilities, from our beginnings at the dawn of the commercial aviation industry to our present as a disciplined and diversely powerful global brand to our future pushing the boundaries of industry peripheries.",Active,For Profit,,,1929-01-01,year,"Aerospace, Transportation"
Grimes Aerospace Company,https://www.crunchbase.com/organization/grimes-aerospace-company,"Urbana, Ohio, United States",,Active,For Profit,,,1933-01-01,year,"Aerospace, Manufacturing"
Precision Aerospace Corp.,https://www.crunchbase.com/organization/precision-aerospace-corp,"Grand Rapids, Michigan, United States","Precision Aerospace Corp. is a maker of complex parts and assemblies for commercial aerospace and defense applications. We are a high mix, low volume contract manufacturer with the skills and competency to provide close tolerance machining for the demanding aerospace industry. ",Active,For Profit,,,1956-01-01,year,"Aerospace, Machinery Manufacturing"
AvPORTS,https://www.crunchbase.com/organization/avports,"Dulles, Virginia, United States","AvPORTS creates maximum value for airport owners, users, and communities through the unrivaled integration of airport management capabilities, experience, and expertise. It has been forged in the most developed and active aviation sector in the world. Their aviation experience coupled with their current portfolio gives them an unassailable advantage in all aspects of airport management, operations, and service delivery.",Active,For Profit,,,1927-01-01,year,Aerospace
Essex Industries,https://www.crunchbase.com/organization/essex-industries,"St Louis, Missouri, United States",Essex Industries is an aviation & aerospace firm providing manufacturing and engineering solutions.,Active,For Profit,,,1947-01-01,year,"3D Printing, Aerospace, Electronics, Manufacturing"
RBC Bearings,https://www.crunchbase.com/organization/rbc-bearings,"Oxford, Connecticut, United States","RBC Bearings provides our global industrial, aerospace, and defense customers with unique design solutions to complex problems and an unparalleled level of service, quality, and support.",Active,For Profit,Private Equity,,1919-01-01,year,"Aerospace, Industrial, Manufacturing"
Whitcraft Group,https://www.crunchbase.com/organization/whitcraft-group,"South Windsor, Connecticut, United States","Whitcraft is a manufacturer of highly-engineered precision formed, precision-machined, and fabricated parts on the industry’s leading aircraft and engine platforms",Active,For Profit,,,1960-01-01,year,"Aerospace, Automotive, Manufacturing, Staffing Agency"
Insured Aircraft Title Service,https://www.crunchbase.com/organization/insured-aircraft-title-service,"Oklahoma City, Oklahoma, United States","Insured Aircraft Title Service has the experience required by aviation enterprises and financial institutions to make informed business decisions. They offer international escrow services such as title and document recording to the whole aviation sector. They provide escrow, document, and title recordation services for aircraft registered anywhere around the globe.",Active,For Profit,,,1963-01-01,year,"Aerospace, Consulting, Document Preparation, Transaction Processing"
SheltAir Aviation Services,https://www.crunchbase.com/organization/sheltair-aviation-services,"Fort Lauderdale, Florida, United States",,Active,For Profit,,,1963-01-01,year,"Aerospace, Construction, Leasing, Real Estate, Transportation"
Aeroflot,https://www.crunchbase.com/organization/aeroflot,"Los Angeles, California, United States",Aeroflot is Russia’s flagship carrier and one of the largest airline groups in Europe. Aeroflot Bonus is their way to evaluate your choice and reward your loyalty.,Active,For Profit,,,1923-01-01,year,"Aerospace, Air Transportation, Travel"
Mayday Manufacturing Co.,https://www.crunchbase.com/organization/mayday-manufacturing-co,"Denton, Texas, United States","Mayday Manufacturing Co. manufactures precision aircraft components for commercial aerospace and military aircraft applications. The company offers precision bushings, sleeves, pins, and spacers to aerospace, defense, and homeland security markets, as well as turned parts that include milled features, such as flange flats, slots, grooves, notches, and tangs. Its products are used in various applications, such as landing gears, wings, actuators, engine mounts, rotary head components, flight controls, and APU mounts. ",Active,For Profit,,,1966-01-01,year,"Aerospace, Manufacturing"
MPC Products Corp.,https://www.crunchbase.com/organization/mpc-products-corp,"Skokie, Illinois, United States",MPC Products Corp. is an innovative engineering and manufacturing organization.,Active,For Profit,,,1962-01-01,year,"Aerospace, Manufacturing"
Gemcor,https://www.crunchbase.com/organization/gemcor,"New York, New York, United States","Gemcor, headquartered in West Seneca, NY, is a global leader in automated fastening systems and part positioning solutions used in the assembly of aircraft components.  Founded in Buffalo, NY in 1937 by Thomas Speller Sr., Gemcor invented the automated fastening process to support U.S. aircraft production during World War II.  Gemcor's Drivmatic® process quickly became an industry standard for automated aircraft assembly.  www.gemcor.com",Active,For Profit,,,1937-01-01,year,"Aerospace, Manufacturing"
Jeppesen,https://www.crunchbase.com/organization/jeppesen-7f04,"Englewood, Colorado, United States","Jeppesen is a boeing subsidiary and part of the digital aviation business unit within boeing commercial aviation services. Boeing offers the industry’s largest portfolio of services, support and solutions, collectively known as the boeing edge, providing customers a competitive advantage by solving real operational problems, enabling better decisions, maximizing efficiency and improving environmental performance – intelligent information solutions across the entire aviation ecosystem.",Active,For Profit,,,1933-01-01,year,"Air Transportation, Marine Transportation, Software, Transportation"
Aircraft Spruce and Specialty,https://www.crunchbase.com/organization/aircraft-spruce-and-specialty,"Corona, California, United States","Aircraft Spruce & Specialty Company carries everything a pilot could need, including pilot supplies & aircraft parts.",Active,For Profit,,,1965-01-01,year,"Aerospace, Retail"
Hi-Shear Technology Corp.,https://www.crunchbase.com/organization/hi-shear-technology-corp,"Torrance, California, United States","Hi-Shear Technology Corporation develops, tests, manufactures, and delivers energetic, mechanical, and electronic subsystems.",Active,For Profit,,,1950-01-01,year,"Aerospace, Manufacturing"
AlliedSignal Inc.,https://www.crunchbase.com/organization/alliedsignal-inc,"Mishawaka, Indiana, United States","AlliedSignal is a leading manufacturer of aerospace systems and components that later merged with Honeywell International, Inc., in 1999. The corporation was formed in 1920 in the consolidation of several chemical manufacturers. By 1928, Allied became the leading producer of ammonia in the world with the opening of its plant near Hopewell, Virginia. Post World War II, Allied continued to venture into new markets with the production of nylon 6 (used in manufacturing items from tires to clothing) and refrigerants. In 1958, Allied Chemical & Dye Corporation moved its headquarters to Morristown, New Jersey where it was renamed Allied Chemical Corporation. In the 1940s these companies were transformed into divisions of Allied Chemical. There were further reorganizations and acquisitions of companies and plants during the 1950s, ’60s, and ’70s, and Allied became a conglomerate. Taking the name Allied Corporation in 1981, the firm acquired the Bendix Corporation, a manufacturer of automotive and aerospace equipment, in 1983.  Known as Allied-Signal in 1985, Allied expanded its aerospace, automotive, and engineered materials businesses through its merger with the Signal Companies. In 1993 the hyphen was dropped from the company’s name to convey a one-company image. In 1986 Allied-Signal spun off about 35 of its diverse subsidiary operations into a new and separate company so that the parent corporation, renamed AlliedSignal in 1993, could concentrate on its growing aerospace electronics and automotive operations.  In 1999, AlliedSignal acquired Honeywell—an international controls company that developed and supplied advanced technology products, systems, and services to aviation and space companies and industry—and adopted its name which it considered to be more recognizable. This merger was valued at $15 billion.  Today, with headquarters in Morristown, New Jersey and over 122,000 employees worldwide, Honeywell is organized into four major business units: aerospace, automation and control solutions, transportation systems, and specialty materials.",Active,For Profit,,,1920-01-01,year,"Aerospace, Automotive, Innovation Management, Manufacturing"
Arrowhead Products,https://www.crunchbase.com/organization/arrowhead-products,"Los Alamitos, California, United States",,Active,For Profit,,,1937-01-01,year,"Aerospace, Delivery, Manufacturing, Space Travel"
PASSUR Aerospace,https://www.crunchbase.com/organization/passur-aerospace,"Stamford, Connecticut, United States",PASSUR is the leading provider of the highest quality data. We deliver efficiency to advance profitability for aviation operators through our collaborative decision support platform.,Active,For Profit,Post-IPO Equity,,1967-01-01,year,"Aerospace, Analytics, Big Data, Business Intelligence, Hospitality, Information Technology, Predictive Analytics, Travel"
ERG Aerospace,https://www.crunchbase.com/organization/erg-aerospace,"Oakland, California, United States",,Active,For Profit,,,1967-01-01,day,"Aerospace, Manufacturing, Semiconductor"
Dayton T. Brown,https://www.crunchbase.com/organization/dayton-t-brown-inc,"Bohemia, New York, United States","Dayton T. Brown provides product life cycle support services such as testing, technical publications, on-demand engineering, and logistical services to the military, governmental, commercial, aviation, and aerospace industries. They offer environmental testing, EMI/EMC testing, structural testing, ballistics testing, optical testing, battery testing, metallurgy, reverse engineering, stress analysis, design engineering, logistics management information, logistics consulting, and more.",Active,For Profit,Grant,,1950-01-01,year,"Aerospace, Customer Service, Logistics, Technical Support"
Teledyne Brown Engineering Inc.,https://www.crunchbase.com/organization/teledyne-brown-engineering-inc,"Huntsville, Alabama, United States","Teledyne Brown Engineering, Inc. is an industry leader in engineered systems and advanced manufacturing. The Company provides full-spectrum systems engineering, integration, manufacturing, and lifecycle sustainment solutions to the marine, aviation, aerospace, defense, energy and environment markets. Teledyne Brown has expertise in systems integration, technology development, hardware design, prototype development, system test and evaluation, advanced manufacturing, performance-based logistics solutions, and operations and maintenance.",Active,For Profit,,,1953-01-01,year,"Aerospace, Manufacturing"
Jamaica Bearings Group (JBG),https://www.crunchbase.com/organization/jamaica-bearings-group-jbg,"New Hyde Park, New York, United States",,Active,For Profit,,,1925-01-01,day,"Aerospace, Industrial, Logistics"
Piedmont Airlines,https://www.crunchbase.com/organization/piedmont-airlines,"Salisbury, Maryland, United States","Piedmont Airlines, Inc. is a wholly owned subsidiary of the American Airlines Group (AAG). Piedmont was founded in 1931 as Henson Flying Service, a fixed-base operator based in Hagerstown, Maryland. Today, Piedmont operates nearly 400 daily departures to 55 cities throughout the eastern United States with a fleet of deHavilland DHC-8 turbo prop aircraft. In 2014, AAG announced that Piedmont would expand to include Embraer-145 regional jets in 2015. Piedmont's award winning ground handling team works in nearly 80 airport locations from coast to coast. Piedmont corporate headquarters can be found in beautiful Salisbury, Maryland between the Atlantic Ocean and the Chesapeake Bay. Piedmont employs more than 5800 aviation professionals who share common goals of safety, excellence and superior customer service.",Active,For Profit,,,1931-01-01,year,Air Transportation
Integrated Polymer Solutions,https://www.crunchbase.com/organization/integrated-polymer-systems,"Long Beach, California, United States","Integrated polymer solutions is a developer and manufacturer of advanced materials and engineered components focused solely on high-value end markets  in aerospace, defense, medical, semiconductors, robotics, energy and industrial.",Active,For Profit,,,1911-01-01,year,"Aerospace, Manufacturing"
EAM Worldwide,https://www.crunchbase.com/organization/eam-worldwide,"Miami, Florida, United States","EAM Worldwide is a manufacturer of aviation safety equipment. They deliver safety equipment and technology to help ensure the survival and well-being of each passenger and crew member. Their products include vests, rafts, slides, kits, brochures, and more.",Active,For Profit,,,1952-01-01,year,"Aerospace, Industrial Manufacturing, Manufacturing"
Aviall,https://www.crunchbase.com/organization/aviall-india-the-boeing-company,"Dallas, Texas, United States","Aviall is headquartered in Dallas, Texas. As the world's largest provider of new aviation parts and related aftermarket services, Aviall markets and distributes products for more than 240 manufacturers and offers approximately 2,000,000 catalog items from 40 customer service centers located in North America, Europe, and Asia-Pacific. Aviall provides maintenance for aviation batteries, wheels and brakes, as well as hose assembly, kitting and paint-mixing services. The company also offers a complete set of supply chain and logistics services, including order processing, stocking and fulfillment, automated inventory management, and reverse logistics to OEMs and customers. From our AS9100-registered central distribution center in Dallas, to customer service centers around the world, Aviall is committed to supplying the right part at the right time.",Active,For Profit,,,1932-01-01,year,"Aerospace, Service Industry, Supply Chain Management"
John Henry Foster,https://www.crunchbase.com/organization/john-henry-foster-9551,"Eagan, Minnesota, United States","JHFoster is a value-added distributor of motion control parts and accessories, compressed air systems, collaborative robots, industrial robotics, and electrical automation products to manufacturers in the upper Midwest. The company is headquartered in Eagan, Minnesota. JHFoster with an advanced robotics design and training facility and UL 508A-certified control panel shop also in Eagan, facilities in Fargo, North Dakota and Hiawatha, Iowa, and a fully-equipped team of mobile service technicians throughout the five-state area.",Active,For Profit,,,1938-01-01,year,"Aerospace, Energy Efficiency, Industrial Automation, Mechanical Engineering"
Whippany Actuation Systems,https://www.crunchbase.com/organization/whippany-actuation-systems,"Whippany, New Jersey, United States","Whippany Actuation Systems design, manufacture and support unrivaled, highly engineered electric actuation solutions; delivering product quality and performance that provides maximum value to our aerospace partners.",Active,For Profit,,,1947-01-01,year,"Aerospace, Manufacturing"
Allied Aviation,https://www.crunchbase.com/organization/allied-aviation,"New York, New York, United States",,Active,For Profit,,,1951-01-01,year,"Aerospace, Fuel"
Park Aerospace Corp,https://www.crunchbase.com/organization/park-aerospace-corp,"Newton, Kansas, United States",,Active,For Profit,,,1954-01-01,day,"Aerospace, Air Transportation, Manufacturing, Space Travel"
Pacific Air Industries,https://www.crunchbase.com/organization/pacific-air-industries,"Chatsworth, California, United States","Pacific Air Industries is a member of the Aviation Suppliers Association (ASA) and has been on their Board of Directors for many years. Their quality assurance systems are strictly governed by the ASA 100 accreditation, which is backed up by FAA-certified staff.",Active,For Profit,,,1959-01-01,year,"Aerospace, Machinery Manufacturing, Manufacturing"
Moeller Aerospace,https://www.crunchbase.com/organization/moeller-aerospace,"Wixom, Michigan, United States","Moeller Aerospace, based in Wixom, MI, specializes in manufacturing machined parts for the gas turbine aircraft engine and power generation industries. Moeller Aerospace manufactures precision-machined parts – ranging from small items such as bladelocks to complex brackets, blades, vanes, housings and manifolds. At the core of Moeller Aerospace’s expertise is the manufacturing of hot- and cold-section turbine airfoils, using a wide range of alloys including Inconel/nickel alloys and titanium, with a business unit specializing in machining titanium-aluminide, low-pressure turbine blades. Moeller Aerospace is also a recognized industry leader for their proprietary Click-LocTM and FlexThreadTM products, including self-locking fluid fittings, fasteners and borescope plugs.",Active,For Profit,,,1953-01-01,year,"Aerospace, Automotive, Electronics, Manufacturing, Transportation"
David Clark Company,https://www.crunchbase.com/organization/david-clark-company,"Worcester, Massachusetts, United States","Since 1935, David Clark Company has been dedicated to the development of products calling for unsurpassed excellence in quality, design and performance. From our humble beginnings in the textile business with the development of unique knitted materials for specialty undergarments, our focus has evolved to products that protect people and save lives. Each of the various products described on our website was developed in response to a customer's expressed need. Consequently, we understand the real value of listening to our customers and providing them uncompromising customer service, forever. As the industry leader in virtually every niche market we serve, we are dedicated to maintaining the high standards that our Company founders established. We have earned a reputation for excellence; we intend to keep it and to continue deserving the confidence of our customers.",Active,For Profit,,,1935-01-01,year,"Aerospace, Air Transportation, Communication Hardware, Manufacturing"
PEMCO World Air Services,https://www.crunchbase.com/organization/pemco-world-air-services,"Tampa, Florida, United States","PEMCO provides best-in-class services ranging from light repairs to full heavy maintenance visits. PEMCO holds a Part 145 FAA Repair certificate with multiple supplemental type certificates for passenger-to-freighter and combi models of the 200, 300 and 400 series of Boeing 737 aircraft. PEMCO-converted aircraft make up more than 70 percent of China-based B737-300 and -400 fleets in service. The company has redelivered over 50 B737-300 and B737-400 converted aircraft to Chinese operators since 2006, including the first B737-300F aircraft in China. For cargo conversion customers, PEMCO provides the very best technical solution at sensible economics to ensure operators of PEMCO freighters have sustainable market advantage.",Active,For Profit,,,1957-01-01,year,Aerospace
ITW GSE,https://www.crunchbase.com/organization/itw-gse-military,"Palmetto, Florida, United States","ITW GSE  is the leading supplier of ground power, pre-conditioned air units, cables & hoses. We supply the cleanest, most reliable and cost-efficient ground power and pre-conditioned air units. The unique backbone of ITW GSE equipment is our green product line.  All GPUs and PCAs are built on a common design platform, equipping all products with the ITW GSE icon-based operator interface, that’s as easy and intuitive to use as a smartphone. Other advantages are the quick service, repair and spare part communality. We got you covered!  ITW GSE is ISO 9001:2015 certified to ensure quality in every step of our manufacturing process. ITW GSE is a division of Illinois Tool Works or ITW, a diverse Fortune 500 company that employs approx. 45,000 people and is based in Glenview, Illinois, USA, with operations in 54 countries. See more at: itwgse.com",Active,For Profit,,,1924-01-01,year,"Aerospace, Industrial"
II-VI Aerospace & Defense,https://www.crunchbase.com/organization/ii-vi-aerospace-defense,"Murrieta, California, United States","II-VI Aerospace & Defense provides optical assemblies, objectives, infrared optics, thin film coatings and optical materials.",Active,For Profit,,,1961-01-01,year,"Aerospace, Apps, Manufacturing, Space Travel"
NMG Aerospace,https://www.crunchbase.com/organization/nmg-aerospace,"Stow, Ohio, United States",,Active,For Profit,,,1967-01-01,year,"Aerospace, Manufacturing"
Amphenol Griffith Enterprises,https://www.crunchbase.com/organization/amphenol-griffith-enterprises,"Cottonwood, Arizona, United States","Amphenol Griffith Enterprises designs and manufactures electrical interconnect harnesses, systems controls, and ground support.",Active,For Profit,,,1966-01-01,year,"Aerospace, Manufacturing"
Exotic Metals,https://www.crunchbase.com/organization/exotic-metals,"Kent, Washington, United States","Exotic Metals Forming Company specializes in the design and manufacture of state-of-the-art, high-temperature, high-strength complex hard-metal fabrications to the aerospace and defense industry.  For more than 50 years, the company has established itself as a trusted partner to its customers by providing innovative solutions and world-class delivery, quality and support.",Active,For Profit,,,1966-01-01,year,"Aerospace, Manufacturing"
Barfield,https://www.crunchbase.com/organization/barfield-inc,"Miami, Florida, United States","Barfield provides airframe maintenance to engine overhaul and repair and supply of components. Barfield is a FAA and EASA Certified Repair Station offering maintenance services to major passengers, cargo and regional airlines in the Americas. Barfield is also an authorized repair facility for major European and U.S. Original Equipment Manufacturers (OEMs).More specifically, through its Airline programs division, Barfield supplies complete customized support programs for Airbus, Boeing, Regional jet and Turboprop aircraft, as well as helicopter operators. These programs support operators in need of inventory, logistics solutions, repair management programs, engineering fleet support and component reliability management. Barfield is also a GSTE manufacturer of Air Data/Pitot Static testers, RVSM Air Data testers, APU testers, Cable Tensiometers testers, Fuel Quantity testers, Pressure testers, Nav/Comm Transponder test sets, Pitot/Static Adapters and Turbine Temperature testers.",Active,For Profit,,,1945-01-01,year,"Aerospace, Industrial, Supply Chain Management"
Cobham Advanced Electronic Solutions,https://www.crunchbase.com/organization/cobham-advanced-electronic-solutions,"Arlington, Virginia, United States","Cobham Advanced Electronic Solutions is the largest provider of analog and radiation hardened technology for the United States aerospace and defense industry, offering a complete range of advanced electronic solutions for the entire RF signal chain from aperture to digital conversion.",Active,For Profit,,,1934-01-01,year,Aerospace
Fastener Distribution Holdings LLC,https://www.crunchbase.com/organization/fastener-distribution-holdings-llc,"Marina Del Rey, California, United States","Fastener Distribution Holdings LLC headquartered in Marina del Rey, CA, is a leading distributor of aerospace fasteners and other c-class components to commercial and defense aircraft manufacturers, subcontractors, and component distributors through its Arlington International Aviation Products (“AIAP”) and Aircraft Fasteners International (“AFI”) divisions.",Active,For Profit,,,1964-01-01,year,Aerospace
Duncan Aviation,https://www.crunchbase.com/organization/duncan-aviation,"Lincoln, Nebraska, United States","Duncan Aviation is the world’s largest privately owned business jet support facility. They provide business aircraft operators with every aircraft service they need. Yet They do so with the friendliness and responsiveness of a small-town company. Customers often visit their  major MRO facilities in Battle Creek, Michigan; Lincoln, Nebraska; and Provo, Utah, and are surprised at Their vast array of services, Their innovative solutions and Their excellent customer service. They provide aircraft acquisition & sales, airframe & engine maintenance, avionics installations, interior & paint completions/modifications, avionics/instrument/accessory repairs & overhauls and parts support for Bombardier, Dassault, Textron, Gulfstream and Embraer manufactured aircraft. Their 20+ avionics satellites and 16 engine Rapid Response offices provide avionics and engine services in the field for scheduled and AOG work. And their parts team provides 24/7/365 support worldwide with knowledgeable reps who answer the phone day or night. Their people have a passion for aviation and for serving customers. They are among the most experienced in the industry and the quality of the service they provide is among the best in the world. ",Active,For Profit,,,1956-01-01,year,Aerospace
Mason Controls,https://www.crunchbase.com/organization/mason-controls,"Sylmar, California, United States",,Active,For Profit,,,1947-01-01,year,"Aerospace, Air Transportation, B2B"
Narda-MITEQ,https://www.crunchbase.com/organization/l-3-narda-miteq,"Hauppauge, New York, United States",L-3 Narda-Miteq develops and manufactures specialized radio frequency (RF) microwave products.,Active,For Profit,,,1953-01-01,year,"Aerospace, Drones, Electronics, Manufacturing"
