Organization Name,Organization Name URL,Headquarters Location,Full Description,Operating Status,Company Type,Last Funding Type,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Industries
Velocity Aerospace Group,https://www.crunchbase.com/organization/velocity-aerospace-group,"Frisco, Texas, United States",Velocity Aerospace Group is a global leader in repair and exchange of aerospace systems and components. Their organization has earned the reputation for a commitment to excellence in both quality and service customers have come to expect to find.,Active,For Profit,Venture - Series Unknown,,2013-01-01,year,"Aerospace, Computer, Manufacturing, Service Industry, Transportation"
United Continental Holdings,https://www.crunchbase.com/organization/united-continental-holdings,"Chicago, Illinois, United States","United Continental Holdings is an airline holding company that focuses on connecting and uniting the world through innovations, developed to help build a great experience. United operates 779 mainline aircraft and the airline's United Express carriers operate 569 regional aircraft. United Airlines and United Express operates 4,900 flights a day to 355 airports through five continents. The company is proud to have a comprehensive route network, including U.S. mainland hubs in Chicago, Denver, Houston, Los Angeles, New York, Newark, San Francisco, and Washington, D.C. United Continental Holdings was founded in October 2010 and is headquartered in Chicago, Illinois.",Active,For Profit,,,2010-10-01,day,"Aerospace, Air Transportation, Transportation, Travel"
XOR Security,https://www.crunchbase.com/organization/xor-security,"Falls Church, Virginia, United States",,Active,For Profit,,,2012-01-01,day,"Aerospace, Artificial Intelligence, Professional Services"
UAV Systems International,https://www.crunchbase.com/organization/uav-systems-international-inc,"Las Vegas, Nevada, United States",,Active,For Profit,,,2014-01-01,year,"Aerospace, Drones, GovTech, Information Technology, Manufacturing, Military, Public Safety, Robotics"
Airbus,https://www.crunchbase.com/organization/airbus-3025,"Herndon, Virginia, United States","Airbus offers commercial aircraft, helicopter and satellite manufacturing, engineering, pilot training, spares and services, air traffic management, and a high-tech think tank.",Active,For Profit,,,2014-01-01,year,"Aerospace, Commercial, Manufacturing"
Black Swift Technologies,https://www.crunchbase.com/organization/black-swift-technologies,"Boulder, Colorado, United States","Black Swift Technologies is an engineering firm specializing in the development of next-generation small unmanned aircraft platforms and technologies. A suite of proprietary modular products has been optimized for rapid customization to meet customer requirements for any usage scenario. Founded in 2011, Black Swift Technologies is working towards providing innovative data gathering solutions to optimize process management in a host of end-user applications such as large-scale agriculture, livestock ranching, and disaster relief. Our vision is to increase operational efficiency and reduce costs for end-users by providing targeted information that can be gathered via aerial surveillance without the need for skilled pilots or expensive conventional aircraft.",Active,For Profit,,,2011-01-01,year,"Aerospace, Drones, Industrial Engineering, Information Technology, Robotics"
Mil-Aero Solutions,https://www.crunchbase.com/organization/mil-aero-solutions,"Bohemia, New York, United States",,Active,For Profit,,,2012-01-01,year,"Aerospace, Machinery Manufacturing, Manufacturing"
"Spike Aerospace, Inc.",https://www.crunchbase.com/organization/spike-aerospace-inc,"Boston, Massachusetts, United States","Spike Aerospace is an aerospace engineering and design firm that develops and commercializes aviation and aerospace technologies. Using material science, avionics, airframe, and engine technologies, the company aims to build The Spike S-512 Supersonic Jet, a business jet designed to fly at Mach 1.6, 450 mph faster than other civilian jets. Spike Aerospace was founded in 2012 and is based in Boston, Massachusetts.",Active,For Profit,,,2012-01-01,year,Aerospace
Naaraa,https://www.crunchbase.com/organization/naaraa,"Fairburn, Georgia, United States","Naaraa provides strategic technology, consultancy services and managed services to commercial, not for profit and government organizations. Our capabilities can mobilize the right people, skills and technologies to help organizations improve their performance.   Operating in North American and International markets, Naaraa provides its services through websites such as naaraa.com and naaraa.ca.  It also enables authors, musicians, filmmakers, app developers, and others to publish and sell content via its branded websites. IoT Cloud Social Media Marketing & Advertising + IoT Cloud Ecosystem Application Gateway Services Usage-based Services License-based Services IoT Cloud Ecosystem Gateway Appliance Service | IoT Cloud Social Marketing & Advertising Service | Cloud Enterprise Mid-Level Small Business Service | Big Data & Analytics Service | [Q Quantum Technology] Service | Machine Learning Service | (AI) Artificial Intelligence Service | (IoT) Internet Of Things Service | Bot Service | Blockchain Service | Bitcoin Bank Service | Bitcoin Wallet Service | Bitcoin Pay Service | Bitcoin Credit & Card Service | International Bitcoin Exchange Service | GoDUTCH Interface Service | Web & Mobile Development Service | Design Service | Domain names Service | News Media Application Interface Service | (SEO) Search Engine Optimization Service | Search Engine Service | Social Marketplace Service | Social Magazine Service | Gaming Service | Cloud Business Application Hosting Service | Cloud Business Email Service | Cloud Business Web Hosting Service | Cloud Business Unix Hosting Service | SmartHOME Service | SmartOFFICE Service | SmartMOBILE Service | SmartTHING Service | SmartCAR Service | Cloud Windows Hosting Service | Cloud Storage Service | Regulatory & Compliance Service | Capital Markets Service | Crisis Response Service | Defense Service | Space Service | Financial Compliance Service | Insider Threat Service | Intelligence Service | Legal Intelligence Service | Case Management Service | Cyber Service | Disaster Preparedness Service | GDPR Service | Insurance Analytics Service | Law Enforcement Service | Consultancy Service | PHARMA: RWE Service | Mergers & Acquisitions Service | Security Service | Government Service",Active,For Profit,,,2012-05-30,day,"Aerospace, B2C, Internet of Things, Legal, Military, Nanotechnology, National Security, Retail, Social Media, Transportation"
Avantus Aerospace,https://www.crunchbase.com/organization/shimtech-industries-ltd,"Valencia, California, United States",Avantus Aerospace is a manufacturer of shims used to separate materials in the assembly of aircraft.,Active,For Profit,,,2011-01-01,year,"Aerospace, Manufacturing, Mechanical Engineering"
SimpleCharters,https://www.crunchbase.com/organization/simple-charters,"Portsmouth, New Hampshire, United States",SimpleCharters they make aviation more accessible for customers with bookings in the flights industry.,Active,For Profit,,,2012-01-01,year,"Air Transportation, Service Industry, Travel"
Emelody Worldwide,https://www.crunchbase.com/organization/emelody-worldwide,"Peachtree City, Georgia, United States","Emelody Worldwide is a research technology company focused on applied research and technology demonstrator systems. Our focus is on developing advance aerospace/space systems and world renowned medical products. Current areas of research in aerospace are in hypersonics, ignition systems, and re-entry systems.",Active,For Profit,Equity Crowdfunding,,2014-12-12,day,"Aerospace, Consulting, Drones, Space Travel"
Catalyze Dallas,https://www.crunchbase.com/organization/catalyze-dallas,"Dallas, Texas, United States","Catalyze Dallas is a venture development firm specializing in capitalization and commercialization of promising innovations sourced from some the world’s most respected defense and industrial companies.  Creating value through the spin out of intellectual property (including assets, manufacturing technology and patents), Catalyze Dallas forms new companies purpose-built to target those assets into broad commercial markets.",Active,For Profit,,Women Founded,2014-01-01,year,"Advanced Materials, Aerospace, Sensor, Venture Capital"
Jetset Group Inc,https://www.crunchbase.com/organization/jetset-group-inc,"New York, New York, United States","Private jet charter Rentals , on demand as well as membership programs. Access to over 6000 aircraft worldwide",Active,For Profit,,,2012-08-01,month,Air Transportation
"Skylogic Research , LLC",https://www.crunchbase.com/organization/drone-analyst,"Redwood City, California, United States","Skylogic Research, LLC is a research, content, and advisory services firm supporting all participants in the commercial unmanned aircraft systems (UAS) industry. We help you make critical investment decisions with confidence by providing research-based insights on the commercial drone markets. Our focus is on the needs of three constituents: - Manufacturers, suppliers, and business service providers – who need research and insight into buyer needs - Buyers of UAS technology and services – to help inform their acquisition decisions - Investors – who need to distinguish technical and market viability This focus, plus research as a foundation and reach into a community of more than 90,000 business executives and innovators through social media and media partnerships, allows us to deliver a high-value, low-risk method for achieving optimal understanding. Drone Analyst® is the registered trademark and brand name and trademark of Skylogic Research, LLC.",Active,For Profit,,Women Founded,2011-01-01,year,"Advice, Aerospace, Consulting, National Security"
D & B Risk Management,https://www.crunchbase.com/organization/d---b-risk-management,"Starbuck, Washington, United States","Drone and Balloon Risk Management was founded by an aerospace industrial designer with worldwide experience, and a network of aviation first responders to protect and serve both civilians and operators of unmanned aerial vehicles.     Their multi-generational team shares a combined fifty years of perspective and expertise in commercial airlines, military service, corporate and private business aviation, including pilots and engineers in their twenties to veterans of the Cold War.     Out-ground-based mobile deployment saves operational costs with all-weather positioning for responding to downed craft or threats to security.    R&D, operational overhead and logistic support is provided by www.KiwiAirHelicopters.com which also builds their unique self supporting all weather Trailer.    Cloud based solutions with http://www.tableau.com/ interfaced with on board GPS/GIS image systems provide complete data and analytics capture,  On April 1,, 2015 www.americanavionics.com signed a strategic agreement to a Merger and Acquisition Providing a full FAA avionics services, equipment and partnership support.    Worldwide deployment expected by Spring of 2016, and 5 USA preposition-ed responders in place by August 2015.",Active,For Profit,Convertible Note,,2010-02-11,day,"Aerospace, Drones, Transportation"
Avilution,https://www.crunchbase.com/organization/avilution,"Huntsville, Alabama, United States","Avilution is a computer software company that develops technologies to power the next generation of manned and unmanned aircraft. Their primary software, eXtensible Flight System (XFS), replaces the aircraft industry's obsolete avionics systems with a portfolio of current software applications. XFS, as a collection of safety-critical microservices, enables aircraft manufacturers and integrators to design and create a contemporary flight deck in a fraction of the time. Avilution is headquartered in Huntsville, Alabama and was founded in 2010 .",Active,For Profit,Grant,,2010-01-01,year,"Aerospace, Manufacturing, Software"
R2C,https://www.crunchbase.com/organization/r2c-680e,"Huntsville, Alabama, United States",,Active,For Profit,,,2011-01-01,year,"Aerospace, Industrial Engineering, Industrial Manufacturing, Manufacturing, Military"
Southern Airways Express,https://www.crunchbase.com/organization/southern-airways-express,"Pompano Beach, Florida, United States",Southern Airways Express offering scheduled regional air service to over twenty cities and spans 5 time zones.,Active,For Profit,,,2013-01-01,year,Air Transportation
Strategic Technology Consulting,https://www.crunchbase.com/organization/strategic-technology-consulting,"Aberdeen, Maryland, United States","Strategic Technology Consulting provides digital engineering services, solutions, and consulting to defence and aerospace and commercial industries. Their corporate consulting service includes advanced training and mentoring, digital engineering corporate transformation support, and project and programme specific MBSE guidance and recommendations. They sell the solutions, support the solutions, and provide project execution and management.",Active,For Profit,,,2013-01-01,month,"Aerospace, Consulting, Project Management"
Drone America,https://www.crunchbase.com/organization/drone-america,"Reno, Nevada, United States","Drone America have over 100 years combined experience in flight operations and aerospace manufacturing. Their products are designed and manufactured using the latest advanced composite fabrication techniques to produce safe, lightweight, and robust airframes to ensure reliable operations for Their customers. Their composite manufacturing processes developed in house are also environmentally friendly.",Active,For Profit,,,2011-01-01,year,"Aerospace, Manufacturing"
DroneTech UAV,https://www.crunchbase.com/organization/dronetech-uav,"San Antonio, Texas, United States","DroneTech UAV is in an exciting time of discovery. We've not only developed the only UAV with full redundancy for reliability, “one-click” fully autonomous flight with both fixed wing and VTOL capabilities, but we also have the highest endurance in the market, interchangeable payload-packs, interchangeable payload-fuel, and dual-engine functionality.  DroneTech UAV is currently flight testing prototypes in all foreseeable conditions and testing for commercial market applications. We understand the commercial market space for drone use is currently undefined, so please feel free to reach out to me to learn how our interchangeable infrastructure can adapt with this constantly evolving market.  As a multidisciplinary team, DronetechUAV Corp has decades of experience in:  Airframe design,  Electronics design,  Aerodynamic and Propulsion Science,  Materials Science,  Robotics,  Control engineering,  Remote process supervision and control,  Business intelligence, and  Flight testing over 70 different aircraft designs.  It is this experience which enables DrontechUAV Corp to develop state of the art, value optimized, operationally sound Unmanned Aerial Vehicles",Active,For Profit,,,2013-03-01,day,"Aerospace, Drones, Hardware, Manufacturing, Robotics"
NearSpace Launch,https://www.crunchbase.com/organization/nearspace-launch,"Upland, Indiana, United States","NearSpace Launch offers satellites to support space and earth-space boundary exploration. They provide services to the satellite community through customized power management, communication and satellite instrumentation systems.",Active,For Profit,,,2014-01-01,year,"Aerospace, Air Transportation, Satellite Communication"
Omada International,https://www.crunchbase.com/organization/omada-international,"Oklahoma City, Oklahoma, United States",,Active,For Profit,,,2013-01-01,year,"Aerospace, Manufacturing, Transportation"
Atol Avion,https://www.crunchbase.com/organization/atol-avion-f8a4,"Brunswick, Maine, United States","Atol USA is a joint venture between Finland’s Atol Avion and a U.S.-based investor group for the production, distribution, and support of the Atol 650 LSA in the North American market. Atol USA also announced the selection of Brunswick Landing for its US headquarters and production facility.",Active,For Profit,Grant,,2012-01-01,year,Aerospace
Leviate Air Group,https://www.crunchbase.com/organization/leviate-air-group,"Dallas, Texas, United States",,Active,For Profit,,,2014-01-01,year,"Aerospace, Sales, Service Industry"
Resonant Sciences,https://www.crunchbase.com/organization/resonant-sciences,"Beavercreek, Oregon, United States","Resonant Sciences focused on aperture design, development, and production. It offers integrated electrical system development, as well as RF and EO or IR modeling, measurements, and signal processing techniques. Advanced signal processing techniques and algorithms for picture generation, near-field to far-field transformations, basis pursuit approaches, and data management are also being developed and implemented by resonant engineers.",Active,For Profit,,,2014-01-01,year,"Aerospace, Industrial, Manufacturing"
International Aerospace Coatings,https://www.crunchbase.com/organization/international-aerospace-coatings,"Irvine, California, United States","International Aerospace Coatings (IAC) is a specialist aviation painting company. They work with international airlines, private operators, and aviation leasing companies across the globe. They provide tailor-made aircraft painting, interior solutions, and graphics that ensure regulatory compliance globally.",Active,For Profit,,,2014-01-01,year,"Aerospace, Service Industry"
Jet Partners,https://www.crunchbase.com/organization/jet-partners,"New York, New York, United States","Intuitive, flexible, and straightforward. Jet Partners On-Demand Charter service guarantees a seamless method of booking private jet charter flights. No long-term commitments required, and you only pay for the time you are in the air delivering you fair and accurate pricing.   Allow one of our qualified travel representatives to speak to you about your travel requirements and determine what program is best suited to exceed your expectations. Jet Partners offers a unique new way of flying private. By committing to be a boutique, Jet Company it has strengthened our relationship with our clients. We endeavor to discover patrons that share the same desire to establish a trusted long-term relationship.",Active,For Profit,,,2010-09-03,day,"Aerospace, Air Transportation, Logistics, Travel"
Legacy Industries,https://www.crunchbase.com/organization/legacy-industries-00ec,"Auburn Hills, Michigan, United States","Legacy Industries offers its services for aerospace, automation, integration, and machining industries. They offer aerospace, robotics, automation, integration, welding, laser, machining, tooling, tier 1, robotic simulation, mechanical design, plc robot programming, abb, fanuc, controls design, system integration, spot joining, spot welding, mig welding, engineering, assembly tooling, manufactured tooling, assembly fixture, machining fixture, virtual 3d process simulation, throughput studies, fabrication, autocad, hardware design, software design, tool integration, custom interface, bonding systems, modular assembly, robotic vision guided systems, joining systems, apprentice program, and vertical integration.",Active,For Profit,,,2014-01-01,year,"Aerospace, Automotive, Manufacturing"
CloudAhoy,https://www.crunchbase.com/organization/cloudahoy,"Lexington, Massachusetts, United States",,Active,For Profit,,,2010-01-01,day,"Aerospace, Software"
COMSPOC,https://www.crunchbase.com/organization/comspoc,"Exton, Pennsylvania, United States","COMSPOC provides space situational awareness platform. COMSPOC curates, fuses, and processes sensor measurements from a network of commercial sensors to turn SSA data into information. They deliver unmatched commercial SSA/STM services.",Active,For Profit,,,2014-01-01,year,"Aerospace, Software"
Vertical Aerospace,https://www.crunchbase.com/organization/vertical-aerospace,"Bristow, Oklahoma, United States",,Active,For Profit,,,2012-01-01,year,"Aerospace, Manufacturing, Military"
W International,https://www.crunchbase.com/organization/w-international,"Goose Creek, South Carolina, United States",,Active,For Profit,,,2013-01-01,year,"Aerospace, Automotive, Industrial Engineering, Manufacturing"
Aerobase Group,https://www.crunchbase.com/organization/aerobase-group,"Melbourne Beach, Florida, United States","Aerobase Group aims to have the right inventory to keep your aircraft and equipment running at peak performance.  AeroBase Group feels it is their responsibility to support the U.S. and our allied forces during times of war, humanitarian aid, and peacekeeping events. Whether the need is a quick immediate response or long term support, ABG can provide a solution that meets our customer's requirements by leveraging our global supply network resources to ensure the mission's success In today's aviation and defense industries, locating the parts needed and having a vendor deliver them on time is critical. ABG's software can simultaneously compare prices and delivery costs between suppliers to secure the most advantageous pricing for its customers. ",Active,For Profit,,,2012-01-01,year,Aerospace
Valkyrie Systems,https://www.crunchbase.com/organization/valkyrie-systems,"Phoenix, Arizona, United States",,Active,For Profit,,,2014-01-01,year,"Aerospace, Industrial Automation, Software"
AeroBase Group,https://www.crunchbase.com/organization/aerobase-group-66b3,"Melbourne, Florida, United States","AeroBase Group is an aerospace and defense partner that provides airplane parts. They provides logistics, MRO, factory representation, e-commerce, and parts distribution. They specialize in selling components to the aircraft industry, but they also have a strong presence in the defense and industrial sectors. They provide parts for aircraft, ships, and locomotives, as well as mil-spec hardware, medical supplies, and ground support equipment.",Active,For Profit,,,2013-01-01,year,"Aerospace, Electrical Distribution, Industrial"
DefTec,https://www.crunchbase.com/organization/deftec,"Huntsville, Alabama, United States","DEFTEC Corporation was founded in December 2012 by Ms. Barbara Reeder, the company's founder and CEO. In 2006, Barbara was called upon to support training for the Army's deployment of C-IED threat systems. Recognizing the operational impacts, Ms. Reeder was able to quickly understand that Soldiers were losing their lives due to inefficient and ineffective training in the areas of C-IED, Counter Terrorism, and Counter Remote-Controlled Improvised Device Electronic Warfare (CREW). With this determination, Ms. Reeder was able to act quickly and make a foundational impact for the Training and Doctrine Command (TRADOC) Capability Manager (TCM) Ground Sensors (TCM-GS) by supporting both their engineering design of Electronic Counter Measures (ECMs) as well as transform the structure of the Electronic Warfare (EW) and ECM training. DEFTEC's passion and exceptional diligence supporting our Warfighters in the C-IED fight was codified by receiving a note from General George Casey, Operation Iraqi Freedom (OIF) Commanding General, stating this work was the contributing factor for a 37% significant reduction of the Killed in Action (KIA) in theater. It is from this passion that DEFTEC was formed. The DEFTEC team has grown over the years, and our most valuable asset, our people, share the same passion and drive that our Founder and CEO had when she began DEFTEC. Our team is mission-focused and goal-oriented to provide the best support to our nation, our strategic partners, our clients, and in the end, to our Warfighters.",Active,For Profit,,,2012-01-01,year,"Aerospace, Delivery"
Hummingbird Systems,https://www.crunchbase.com/organization/hummingbird-systems,"San Marcos, California, United States",Hummingbird Systems provides On demand aerial mapping and data analysis of construction sites and agriculture using drones.,Active,For Profit,,,2014-01-01,year,"Aerospace, Drones"
DevRank,https://www.crunchbase.com/organization/devrank,"Fort Lauderdale, Florida, United States",,Active,For Profit,,,2011-01-01,year,"Aerospace, Consulting, Information Technology, Software"
justairticket.com,https://www.crunchbase.com/organization/justairticket-com,"Orlando, Florida, United States",Justairticket is the best travel agency which provides the best deal on flight tickets. They have a wide variety of flights to choose from and the prices are unbeatable. I have been using them for years and have never been disappointed.,Active,For Profit,,,2013-12-09,day,"Air Transportation, Travel Accommodations, Travel Agency"
Relative Dynamics,https://www.crunchbase.com/organization/relative-dynamics,"Greenbelt, Maryland, United States",,Active,For Profit,,,2011-01-01,year,"Aerospace, Communication Hardware, Optical Communication"
Blue Line Aviation,https://www.crunchbase.com/organization/blue-line-aviation,"Smithfield, North Carolina, United States",Blue Line Aviation provides flight training for international students. Their international career pilot program is designed to launch an aviation career in as little as 5 1/2 months. They also provide financing services.,Active,For Profit,,,2012-01-01,year,"Aerospace, Training"
Charter Flight Group,https://www.crunchbase.com/organization/charter-flight-group,"San Diego, California, United States","Charter Flight Group offers private jet aircraft flights, business jet charters, and personal private planes for luxury travels anywhere in the United States and throughout the world.",Active,For Profit,,,2013-01-01,day,"Air Transportation, Transportation, Travel"
Drone U,https://www.crunchbase.com/organization/drone-u,"Loveland, Colorado, United States",,Active,For Profit,,,2014-01-01,year,"Aerospace, E-Learning, Education, Training"
Airportag,https://www.crunchbase.com/organization/airportag,"Boca Raton, Florida, United States","Airportag ships worldwide, airport codes and other travel themed products for those who love traveling, from throw pillows to passport covers.",Active,For Profit,,,2014-01-01,year,"Aerospace, E-Commerce, Gift, Lifestyle, Retail, Retail Technology, Wholesale"
Verde GSE,https://www.crunchbase.com/organization/verde-gse,"Palmetto, Florida, United States","Verde GSE is a designer and manufacturer of airport ground support equipment for airports, airlines, and military installations. Their pca systems are based on refrigeration technologies from the automotive, food equipment, and aerospace industries. reduction in greenhouse gas effects by drastically reducing the refrigerant charge. Verde offers bridge mounted and mobile preconditioned air units with optional heat pump technology.",Active,For Profit,,,2013-01-01,year,"Air Transportation, Manufacturing, Sales, Service Industry"
EnCore,https://www.crunchbase.com/organization/encore-d650,"Cambridge, Massachusetts, United States",,Active,For Profit,,,2011-01-01,day,Aerospace
Fuse Integration,https://www.crunchbase.com/organization/fuse-integration,"San Diego, California, United States",,Active,For Profit,,,2010-10-29,day,"Aerospace, Information Technology, Software, Software Engineering"
Maximus Global Services,https://www.crunchbase.com/organization/maximus-global-services,"Miami, Florida, United States",,Active,For Profit,,,2012-01-01,year,"Aerospace, Customer Service, Security"
Hyperion Aviation,https://www.crunchbase.com/organization/hyperion-aviation,"Malta, Illinois, United States",,Active,For Profit,,,2012-01-01,year,"Aerospace, Air Transportation, Transportation"
Vertex Aerospace,https://www.crunchbase.com/organization/vertex-aerospace-b26e,"Grasonville, Maryland, United States",,Active,For Profit,,,2010-01-01,year,"Aerospace, Industrial Engineering, Manufacturing, Mechanical Engineering"
ActiondroneUSA,https://www.crunchbase.com/organization/actiondroneusa,"Chula Vista, California, United States","Action Drone USA manufactures modular aerial platforms and payloads, specified to any commercial application. Their drones are easily third-party software compatible. They work diligently with clients, providing efficient solutions for their specific flights.",Active,For Profit,,,2013-01-01,year,"Aerospace, Commercial, Drones, Manufacturing, Robotics"
JetStream Aviation Capital,https://www.crunchbase.com/organization/jetstream-aviation-capital,"Miami, Florida, United States",,Active,For Profit,,,2010-01-01,year,"Air Transportation, Leasing, Rental"
AppMail,https://www.crunchbase.com/organization/seatassignmate,"New York, New York, United States","When an air booking is completed by either an Airline or an Agency, they help them transform their traditional static confirmation email into an immersive experience… by curating content that is interactive, dynamic and real-time.   This means that travelers now have the ability to assign free/preferred seats, purchase services such as baggage, on-board meals, lounge access etc, all from within their email.",Active,For Profit,Seed,,2012-01-01,year,"Air Transportation, Real Time"
Onyx Aerospace,https://www.crunchbase.com/organization/onyx-aerospace,"Huntsville, Alabama, United States",,Active,For Profit,,,2011-01-01,year,"Aerospace, Mechanical Design, Mechanical Engineering"
TrueAero,https://www.crunchbase.com/organization/trueaero,"Sebastian, Florida, United States",,Active,For Profit,,,2014-01-01,year,"Aerospace, Air Transportation, Asset Management, Leasing"
SpeedBird,https://www.crunchbase.com/organization/speedbird,"Orlando, Florida, United States",,Active,For Profit,,,2013-01-01,year,"Aerospace, Air Transportation, Transportation"
OneWeb Satellites,https://www.crunchbase.com/organization/oneweb-satellites,"Merritt Island, Florida, United States",,Active,For Profit,,,2012-01-01,day,"Aerospace, Air Transportation"
EVONOMY Group,https://www.crunchbase.com/organization/evonomy-group,"Melvin, Michigan, United States","EVONOMY Group is a world leader in Technical & Commercial services focused in Autonomous Technologies, Electrification, Connectivity, and Software. Within the group are two core brands, Evonomy & REPfirm. The Evonomy Brand offers Technical Services to help accelerate OEM & Tier-1 Engineering cycles, saving Time & Cost. The REPfirm Brand offers Commercial Services to help suppliers reach their target customers thru Sales & Business Development efforts.",Active,For Profit,,,2011-01-01,year,"Aerospace, Agriculture, Automotive, Autonomous Vehicles, Data Center, Marine Transportation, Military, Mining"
"Cintel, Inc.",https://www.crunchbase.com/organization/cintel-inc,"Huntsville, Alabama, United States","Cintel, Inc. is a Small Business with corporate offices in Huntsville, AL and Sterling Heights, MI providing strategies and services to support an array of Government and Commercial clients in Cyber Security, Modeling and Simulation, Machine Learning/AI, Software Development, Data Science, Prototype Development & Integration, Intelligence, Technical Services, and Programmatic support.  We offer our clients nimble, unique, and value focused solutions with an emphasis on people, connectivity, communication, and team work. Our team believes that people drive solutions. By connecting people, information, teams, and experience we deliver solutions that respond to customer needs.  Our people create solutions for our clients.",Active,For Profit,,,2013-12-01,month,"Aerospace, Business Intelligence, Cyber Security, Embedded Systems, Government, Machine Learning, Military, Software"
Hartzell Engine Technologies,https://www.crunchbase.com/organization/hartzell-engine-technologies,"Montgomery, Alabama, United States","Hartzell Engine Technologies is a OEM supplier and aerospace technology company. They offer aircraft cabin heating solutions and engine accessories, including turbocharging systems, aircraft alternators, starters and fuel pumps for general aviation and military aircraft applications, from piston and single-engine turbine aircraft to helicopters and unmanned aerial vehicles. Their portfolio consists of janitrol aero, fuelcraft, plane-power, sky-tec and aeroforce turbocharger systems.",Active,For Profit,,,2010-01-01,year,"Aerospace, Industrial, Machinery Manufacturing, Manufacturing, Sales"
The Air Travel Group,https://www.crunchbase.com/organization/the-air-travel-group,"Orlando, Florida, United States","The Air Travel Group offers a managed air travel solution to tour operators, meeting planners, and organizations of all shapes and sizes. Based in Orlando, Florida, The Air Travel Group is a full-service travel agency that specializes in providing innovative airfare solutions for pre-formed groups, businesses, and athletic teams. We book millions of dollars of airfare with many of the major airlines, giving us preferred account status. We pass along our benefits and savings to all of our clients, offering a price and service that is unmatched.",Active,For Profit,,,2013-08-01,month,"Aerospace, Air Transportation, Tour Operator"
NobleTek,https://www.crunchbase.com/organization/nobletek,"Wooster, Ohio, United States",,Active,For Profit,,,2010-01-01,day,"3D Technology, Aerospace, Manufacturing"
CFM Materials,https://www.crunchbase.com/organization/cfm-materials,"Dallas, Texas, United States",,Active,For Profit,,,2010-01-01,year,"Aerospace, Sales, Warehousing"
Pipeline2Space,https://www.crunchbase.com/organization/pipeline2space,"Spokane, Washington, United States",Pipeline2space uses RAM-Accelerator technology to radically change the economics of space exploration. Pipeline2space enables projectiles to deliver payloads to space.,Active,For Profit,,,2014-01-01,year,"Aerospace, Information Technology, Space Travel"
Unity Jets,https://www.crunchbase.com/organization/unity-jets,"Miami, Florida, United States",,Active,For Profit,,,2011-01-01,year,"Aerospace, Industrial, Manufacturing"
Custom Aerospace,https://www.crunchbase.com/organization/custom-aerospace,"Palm Bay, Florida, United States",,Active,For Profit,,,2010-01-01,year,"Aerospace, Machinery Manufacturing, Manufacturing, Mechanical Engineering"
Center for the Advancement of Science in Space,https://www.crunchbase.com/organization/center-for-the-advancement-of-science-in-space,"Merritt Island, Florida, United States",The Center for the Advancement of Science in Space (CASIS) was selected by NASA in July 2011 to maximize use of the International Space Station (ISS) U.S. National Laboratory through 2020. CASIS is dedicated to supporting and accelerating innovations and new discoveries that will enhance the health and wellbeing of people and our planet. The CASIS goal is to bring the magic of space down to earth.,Active,For Profit,,,2011-01-01,year,"Aerospace, Health Care, Space Travel"
Shapes Precision Manufacturing,https://www.crunchbase.com/organization/shapes-precision-manufacturing,"Palm Bay, Florida, United States",,Active,For Profit,,,2012-01-01,year,"Aerospace, Manufacturing"
Anderson Aerospace,https://www.crunchbase.com/organization/anderson-aerospace,"Aurora, Ohio, United States","Anderson Aerospace, a Kent, Ohio-based company that designs and manufactures advanced technology satellite antenna systems for aircraft.Anderson Aerospace, LLC was founded to pursue new opportunities in aerospace, advanced manufacturing and satellite communications. Their world class team has 140 years of experience in aerospace with 82 years of experience designing, manufacturing and selling aircraft satellite antenna systems.",Active,For Profit,Seed,,2010-01-01,year,"Aerospace, Electronics, Hardware, Manufacturing"
GRACE Aerospace,https://www.crunchbase.com/organization/grace-aerospace,"Flushing, New York, United States",,Active,For Profit,,,2011-01-01,day,"Aerospace, Manufacturing"
IR-LOCK,https://www.crunchbase.com/organization/ir-lock,"Richmond Hill, Georgia, United States","IR-LOCK's beacon/sensor system provides reliable detection performance in the most demanding operating conditions, including bright sunlight and complete darkness. The patent-pending technology is used by drone developers for precision landing and GPS-denied navigation applications.",Active,For Profit,,,2014-01-01,year,"Aerospace, Drones, Robotics"
iJet Technologies,https://www.crunchbase.com/organization/ijet-technologies,"Seattle, Washington, United States","iJet Onboard is an aerospace company with a passion for innovation. We are enabling the intelligent aircraft by building a platform and applications for the future of aviation. Current point solutions require costly hardware and extensive custom software development. Our approach delivers an open platform to collect and disseminate aircraft data during all phases of flight. Together with our partners we leverage this data to provide software-based solutions, which transform airline processes, increase revenue, and reduce costs for our airline customers.  iJet's platform will result in the emergence of a thriving ecosystem of third- party developers and applications for the aviation industry. These developers will be able to address areas where they have deep domain expertise, without the need to construct complex hardware and software systems on board the aircraft. This approach is a substantial departure from the traditional structure currently present in the aviation industry, where each new solution requires its own proprietary avionics system.",Active,For Profit,,,2010-01-10,day,"Aerospace, Information Technology, Robotics, Software, Virtual Reality"
CAVU Component Repair,https://www.crunchbase.com/organization/cavu-component-repair,"Mesa, Arizona, United States",CAVU Component Repair is a provider of aircraft parts repair services.,Active,For Profit,,,2010-01-01,year,Aerospace
Sky Combat Ace,https://www.crunchbase.com/organization/sky-combat-ace,"Las Vegas, Nevada, United States",,Active,For Profit,,,2011-01-01,year,"Adventure Travel, Air Transportation, Training"
