Organization Name,Organization Name URL,Headquarters Location,Full Description,Operating Status,Company Type,Last Funding Type,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Industries
StayCircles,https://www.crunchbase.com/organization/staycircles,"Burlington, New Jersey, United States",,Active,For Profit,,,2016-01-01,year,"Air Transportation, E-Commerce, Internet, Leisure, Travel"
Stellar Amenities,https://www.crunchbase.com/organization/stellar-amenities,"Los Angeles, California, United States","Our mission is uplifting space tourist experience and astronaut wellbeing and performance, for a smooth transition to the multiplanetary future.",Active,For Profit,,Women Founded,2019-12-01,month,"Aerospace, Architecture, Industrial Design, Space Travel"
Anagy Inc.,https://www.crunchbase.com/organization/anagy-inc,"San Jose, California, United States","Anagy is a unique electric technology for aerospace, marine and automotive. Initially focused on marine for an Autonomous Surface Vehicle(ASV) for ocean observation and monitoring. High speeds, less than 1-10% of energy needed compared to existing marine propulsion solutions. Does not use propellers. Harnesses inertia itself for propulsion.",Active,For Profit,,,2020-04-01,day,"Aerospace, Electric Vehicle, Hardware, Marine Transportation"
Volunteer Aerospace,https://www.crunchbase.com/organization/volunteer-aerospace,"Knoxville, Tennessee, United States",,Active,For Profit,,,2016-01-01,year,"Aerospace, Industrial Engineering, Manufacturing"
Grand Sky,https://www.crunchbase.com/organization/grand-sky,"Emerado, North Dakota, United States","Grand Sky has been the site of continuous UAS industry advancements and milestones, including the first flight and the first site to receive regulatory approval to host commercial beyond visual line of sight flights and a full ecosystem of support services and partners, for companies on the cutting edge of the competitive industry.",Active,For Profit,,,2015-01-01,year,"Aerospace, Commercial, Training"
Delta Fox Aviation,https://www.crunchbase.com/organization/delta-fox-aviation,"Manassas, Virginia, United States",,Active,For Profit,,,2016-01-01,year,"Aerospace, Automotive, Mechanical Engineering"
Sky Cana,https://www.crunchbase.com/organization/sky-cana,"Coral Gables, Florida, United States",,Active,For Profit,,,2020-01-01,year,"Air Transportation, Freight Service, Transportation"
AxisWorks,https://www.crunchbase.com/organization/axisworks,"Tempe, Arizona, United States",AxisWorks is a family-owned CNC machine shop and custom rifle manufacturer. They shop is at the heart of manufacturing city with easy access from all major freeways.,Active,For Profit,,,2015-01-01,year,"Aerospace, Industrial, Manufacturing, Retail, Semiconductor"
Gen3 Defense and Aerospace,https://www.crunchbase.com/organization/gen3-defense-and-aerospace,"Grand Rapids, Michigan, United States",,Active,For Profit,,,2019-01-01,year,"Aerospace, Automotive, Manufacturing, Mechanical Engineering, Military, Supply Chain Management"
FlyBy Nav Inc.,https://www.crunchbase.com/organization/flyby-nav-inc,"New York, New York, United States","FlyBy Nav is a software platform and next generation 3D aeronautical navigation app. It engages in assisting pilots of any aircraft in critical phases of flight, for both VFR and IFR.",Active,For Profit,Seed,,2016-07-26,day,"Air Transportation, Drone Management, Drones, Navigation"
Fly Deal Fare,https://www.crunchbase.com/organization/fly-deal-fare,"Canton, Michigan, United States","Fly Deal Fare is one of the pioneers in pre-booking flight tickets to India based on its experience with US-based projects. Their priority is to provide you with the best travel experience while reducing your travel costs. Its mission is to provide high-quality travel services at a reasonable price. The Fly Deal Fare works with major airlines to provide cheap tickets to India from the US. They offer great deals on flights to India. Fly Deal Fare offers cheap flights to India, hotel bookings, and other travel services. To provide their clients with the best hospitality and to make the booking of tickets easy for them is their main objective.",Active,For Profit,,,2015-01-01,year,"Air Transportation, Hotel, Ticketing, Travel"
Hercules Partners,https://www.crunchbase.com/organization/hercules-partners,"Los Angeles, California, United States",,Active,For Profit,,,2015-01-01,year,"Aerospace, Consulting, Technical Support"
AMTIL,https://www.crunchbase.com/organization/amtil-3b14,"New York, New York, United States","The first all inclusive Interactive Learning Platform for aviation maintenance students, instructor and professionals. Leveraging 3D modeling, AI and virtual reality technologies, the platform aims to increase learning, cut operational costs and decrease overall training times.",Active,For Profit,,"Black / African American Founded, Black / African American Led, Women Founded",2019-10-02,day,"Aerospace, E-Learning, Education, Machine Learning, Software, Virtual Reality"
Endeavor Composites,https://www.crunchbase.com/organization/endeavor-composites,"Knoxville, Tennessee, United States","Endeavor Composites provides a zero waste solution for fiber and composite manufacturers. It is manufacturing for the automotive, aerospace, and maritime industries.",Active,For Profit,Non-equity Assistance,,2017-01-01,year,"Aerospace, Industrial Engineering, Mechanical Engineering"
AER Logistics,https://www.crunchbase.com/organization/aer-logistics,"Indianapolis, Indiana, United States","AER Logistics international and domestic shipment services. Their ocean services include ocean freight forwarding and consolidation, full container load management, less than container load management, break bulk, project cargo, global ocean export and import routings, inland freight forwarding in any country, and NVOCC licensing. Their air services include global air freight, expedited, deferred, and charter services, international courier services, and deconsolidation.",Active,For Profit,,,2016-01-01,year,"Air Transportation, Freight Service, Logistics"
Circle Air Group,https://www.crunchbase.com/organization/circle-air-group,"El Cajon, California, United States","Circle Air Group is a maintenance and repair facility for aircraft. They provide pleasant private and passenger lounges, meeting spaces, and private vehicle and walk-on access to the ramp area. The contact mode of the company is by mail, phone, and physical address.",Active,For Profit,,,2016-01-01,year,"Aerospace, Mechanical Engineering"
"GovBizConnect, Inc.",https://www.crunchbase.com/organization/govbizconnect-com,"Washington, District of Columbia, United States","GovBizConnect is an online professional network for government contracting professionals. It enables users—both government contractors and employees—to build tailored profiles in order to identify teaming and contracting opportunities based on capabilities, certifications, past performance, and other criteria.    Co-founder and CEO, Tom Skypek, who formerly worked for federal contractors Booz Allen Hamilton and SAIC in Washington, D.C., says his company is focused on solving a major pain point for government contracting professionals. “They’re a true business-to-business (B2B) and business-to-government (B2G) social network. They’re the Match.com for government contractors. Looking for a woman-owned business with expertise in environmental consulting? Or a veteran-owned business with expertise in cloud computing? GovBizConnect is your solution.”   Government contractors are able to build tailored profiles based on their unique capabilities and certifications. Government employees such as contracting officers are able to build profiles and search for qualified small businesses. GovBizConnect features 40+ data fields, real-time activity stream, private messaging, and a mobile-friendly design.    The CT-based startup has been signing up users since April of this year. “They’ve been hearing from small government contractors, large primes, and government contracting officers—all of whom are looking for a better way to find teaming partners and contracting opportunities,” explains co-founder and CTO, Chris Malinoski, who earned his PhD from UConn.    Co-founders Skypek and Malinoski grew up together in Connecticut and decided to start GovBizConnect after Skypek returned from Washington, D.C. “I saw firsthand how difficult it was to finding great teaming partners and wanted to solve that problem. It’s 2015 and there’s no reason that the process can’t be more data-driven and streamlined. If they modernize this process, the companies win, the government wins, and so does the taxpayer. That’s why they started GovBizConnect.”",Active,For Profit,Seed,,2015-02-01,day,"Aerospace, Business Development, National Security, SaaS"
TravNow,https://www.crunchbase.com/organization/travnow,"Peachtree City, Georgia, United States",,Active,For Profit,,,2016-01-01,year,"Air Transportation, Hotel, Travel Agency"
Aeromates Co.,https://www.crunchbase.com/organization/aeromates-co,"Newport Beach, California, United States",Aeromates is an online aviation marketplace platform that connects student pilots with flight schools and tourists with aerial and helicopter tour providers across the United States.,Active,For Profit,,,2018-03-15,day,"Aerospace, E-Commerce, Marketplace"
SEZ Aerospace USA,https://www.crunchbase.com/organization/sez-aerospace-usa,"Mobile, Alabama, United States",,Active,For Profit,,,2017-01-01,year,"Aerospace, Manufacturing, Marine Transportation, Staffing Agency"
Hornet Systems,https://www.crunchbase.com/organization/hornet-systems-b510,"Fresno, California, United States","A flight and avionics company based in Fresno, CA. We work on developing cost effective drone and automated flight solutions for businesses and private entities.",Active,For Profit,,,2020-01-06,day,"Aerospace, Drone Management, Drones"
Composite Aeronautic Specialists,https://www.crunchbase.com/organization/composite-aeronautic-specialists,"Miami, Florida, United States","Composite Aeronautic Specialists offers services for maintenance, repair, and overhaul, spare parts and component procurement, scrap replacement, and distribution. They also offer component exchange, leasing, and repair management services.",Active,For Profit,,,2016-01-01,year,"Aerospace, Procurement, Service Industry"
DaVinci Aerospace,https://www.crunchbase.com/organization/davinci-aerospace,"Greensboro, North Carolina, United States","DaVinci Aerospace is a defense contracting company engaged in logistics and aviation support. To give an outlook on operating in the aviation industry, the company has assembled a collection of complementary facilities like aerospace manufacturing and overhaul facilities. Their structures, composites, and coatings like HVOF are used for the production of OEM components or repair services.",Active,For Profit,,,2018-01-01,year,"Aerospace, Industrial Engineering, Manufacturing, Test and Measurement"
Trident Aerospace and Electronics,https://www.crunchbase.com/organization/trident-aerospace-and-electronics,"St. Petersburg, Florida, United States",,Active,For Profit,,,2017-08-20,day,"Aerospace, Electronics, Wholesale"
Stratos Perception,https://www.crunchbase.com/organization/stratos-perception,"Houston, Texas, United States",,Active,For Profit,,,2017-01-01,day,"Aerospace, Artificial Intelligence, Service Industry"
Prestige Air Group,https://www.crunchbase.com/organization/prestige-air-group,"Henderson, Nevada, United States",Prestige Air Group specializes in corporate and private aircraft charter services and exceeds the expectations of businesses. Their network of partnered aircraft can accommodate passengers and are capable of international flights. They respond to customer inquiries by phone and email.,Active,For Profit,,,2017-01-01,year,"Aerospace, Air Transportation, Travel"
Code1MX,https://www.crunchbase.com/organization/code1mx,"Tucson, Arizona, United States",,Active,For Profit,,,2018-01-01,year,"Air Transportation, Training"
FiberSense,https://www.crunchbase.com/organization/fibersense,"San Francisco, California, United States","FiberSense provides vibration detection and range sensor technology services. They provide comprehensive strike detection for critical infrastructure, leading to more resilient and reliable utilities.",Active,For Profit,Series B,,2015-01-01,year,"Aerospace, Oil and Gas, Optical Communication, Sensor"
DWG Holdings,https://www.crunchbase.com/organization/deltaweb-consulting,"Chicago, Illinois, United States","Leading R&D destination and technology conglomerate of CEE & CIS region investing in innovations, infrastructure, alternative energy development and 4.0 industry sectors worldwide building global brands, startup ecosystem, hi-tech solutions and products, venture capital funds and manufactures. We select and grow most promising regional and international projects providing strategic development programs: seed & later stage investments, educational, legal, global staffing and marketing services. DWG Holdings currently incorporates the following facilities: DWG Investment Banking (Ventures) - privately-owned and managed investment funds that raise, make, and manage direct equity, equity-related investments, and assets in global, new, expanding or privatizing emerging market companies, infrastructures, and manufactures  DWG AeroSpace Engineerings - global aircraft and space equipment manufacturer DWG Transportation Systems - global manufacturer of locomotives including electric, high-speed trains, hyperloop technology, and urban transport DWG Invention Labs  - fully-equipped workspace, testing labs for hardware inventors and global technology manufacturing innovators with access to national plants and the world's best qualified scientific technology staff and production sites in the CEE and globally DWG Custom R&D Centers - Software & Product Development business units for Fortune 500, global midsize innovation corporates and growing stage startups.  DWG Motors - global automotive brand, R&D, concept design studios and manufacturing facilities for hybrid and all-electric vehicle production DWC (DeltaWeb) Consulting - international business and project management consultancy DWG Alternative Energy Hub is a brand new unit for alternative energy development projects to scale up most promising low-carbon technologies DWG Electronics - global technology brand for consumer portable devices, houselhold appliances and enterprise equipment design and production",Active,For Profit,,,2016-01-01,year,"Aerospace, Automotive, Commercial Real Estate, Finance, Internet of Things, Product Management, Robotics, Software Engineering, Venture Capital"
AAiM High Consulting,https://www.crunchbase.com/organization/aaim-high-consulting,"Aurora, Colorado, United States",,Active,For Profit,,,2017-01-01,day,Aerospace
Sky Aviation Holdings,https://www.crunchbase.com/organization/sky-aviation-holdings,"Pompano Beach, Florida, United States","Sky Aviation Holdings offers solutions including fractional ownership, aircraft management, aircraft maintenance and upgrades, and aircraft avionics installations. They provide aviation insurance services such as business aviation, commercial insurance, commercial aircraft insurance, personal life insurance, private aircraft insurance, and boat insurance. Their services include avionics, maintenance, inspection, engine overhaul, hot section inspection, interior and exterior redesign, and aircraft part sales.",Active,For Profit,,,2018-01-01,year,"Aerospace, Commercial, Life Insurance"
AirWork,https://www.crunchbase.com/organization/airwork-0f55,"North Las Vegas, Nevada, United States",AirWork is a helicopter tour and flight training company. They offer a variety of flight training options. There are instrument approaches at VGT to provide practice while working on your instrument rating.,Active,For Profit,,,2015-01-01,year,"Aerospace, Rental, Training"
Airline MRO Parts,https://www.crunchbase.com/organization/airline-mro-parts,"Jacksonville, Florida, United States","Airline MRO Parts provides digital supply chain solutions for automated sourcing, procurement, and supplier management. They offer technology solutions for buying and selling aircraft, consumables, and expendable products. An online inquiry form is available on the company's website.",Active,For Profit,,,2016-01-01,year,"Aerospace, Supply Chain Management, Wholesale"
Rapid Imaging,https://www.crunchbase.com/organization/rapid-imaging,"Middleton, Wisconsin, United States",,Active,For Profit,,,2017-01-01,year,"3D Technology, Aerospace, Software"
Valkyrie Systems Aerospace,https://www.crunchbase.com/organization/valkyrie-systems-aerospace,"Reno, Nevada, United States",,Active,For Profit,,,2015-01-01,month,"Aerospace, Manufacturing, Military"
ONAIR,https://www.crunchbase.com/organization/onair-0c13,"Los Angeles, California, United States","ONAIR allows to use wifi for free on any flight and receive exclusive offers from our partners.  Simply run the ONAIR app and connect to in-flight wifi after that you can use this wifi unlimited for free. ONAIR will periodically display exclusive offers from our partners during online session. ONAIR uses AI to target every user with truly valuable offers. This means ONAIR provides each user with exactly what they like: shopping, room booking, car renting or dining at the point of arrival with exclusive discounts. With ONAIR: - passengers finally get free unlimited wifi access on any flight; - advertisers reach targeted audience right on their devices, ONAIR provides reliable targeting and real-time analytics;   - airlines and Internet providers monetize those passengers who don't want to pay for in-flight wifi.",Active,For Profit,,,2020-01-02,day,"Advertising, Advertising Platforms, Air Transportation, Artificial Intelligence, In-Flight Entertainment, Internet, Media and Entertainment, Mobile Advertising, Wireless"
Aerocode,https://www.crunchbase.com/organization/aerocode-0ab8,"Quincy, Massachusetts, United States","Get the best private jet prices and options for any trip in the world with proven, cost-effective technology.",Active,For Profit,,,2019-01-01,year,"Air Transportation, Artificial Intelligence"
AwardAce,https://www.crunchbase.com/organization/awardace,"New York, New York, United States",,Active,For Profit,,,2016-07-11,day,"Aerospace, Air Transportation, Travel"
Sensuron,https://www.crunchbase.com/organization/sensuron,"Austin, Texas, United States","Sensuron is an innovator of fiber-optic sensing systems that use light to test, measure, and control applications across a wide range of industries, including aerospace, medical, auto, and energy. Sensuron collaborated with NASA for the development of the gold standard for distributed strain and temperature measurements.",Active,For Profit,,,2015-01-01,year,"Aerospace, Construction, Electronics"
CR Flight,https://www.crunchbase.com/organization/crflight,"San Carlos, California, United States","Our unique patented contra-rotational technology significantly enhances thrust efficiency and overall performance of propeller systems powered by an electric motor. - Far more efficient than a conventional motor - 30 - 50+% greater thrust efficiency - Up to 100% increased thrust, constant duty",Active,For Profit,,,2015-07-09,day,"Aerospace, Drones, Manufacturing"
Honeycomb Aeronautical,https://www.crunchbase.com/organization/honeycomb-aeronautical,"San Diego, California, United States",,Active,For Profit,,,2015-01-01,year,"Aerospace, Hardware, Manufacturing"
Wisconsin Rocket Labs,https://www.crunchbase.com/organization/wisconsin-rocket-labs,"Madison, Wisconsin, United States",,Active,For Profit,,,2018-01-01,year,"Aerospace, Industrial Engineering, Manufacturing"
Williston Basin International Airport,https://www.crunchbase.com/organization/williston-basin-international-airport,"Williston, North Dakota, United States","Williston Basin International Airport is an aviation company that offers air transportation services. Their services includes fingerprinting, badging, security, drafting-compass-solid, and development. They offers customer support through email and phone.",Active,For Profit,,,2019-01-01,year,"Aerospace, Air Transportation, Office Administration, Security"
Mammoth Freighters,https://www.crunchbase.com/organization/mammoth-freighters,"Orlando, Florida, United States","Mammoth Freighters launches the Boeing 777 in both 200 LR and 300 ER variants. They converted the 777 into a productive 777 long-range freighter. They, a Boeing licensee for the Boeing 777, are developing a production and conversion site network.",Active,For Profit,,,2020-12-01,month,"Aerospace, Air Transportation, Manufacturing"
PCI Logistics,https://www.crunchbase.com/organization/pci-logistics,"Irving, Texas, United States",,Active,For Profit,,,2015-01-01,year,"Air Transportation, Freight Service, Logistics, Marine Transportation"
Swift Tactical Systems,https://www.crunchbase.com/organization/swift-tactical-systems,"San Clemente, California, United States","Swift Tactical Systems provides systems and services for collecting, processing, and providing real-time intelligence and data, enabling governments and organizations to make informed decisions and gain enhanced situational awareness.",Active,For Profit,,,2019-01-01,year,"Aerospace, Technical Support, Training"
Destiny Space Systems,https://www.crunchbase.com/organization/destiny-space-systems,"Boston, Massachusetts, United States",,Active,For Profit,,,2018-01-01,year,"Aerospace, Space Travel"
TicketTerrier,https://www.crunchbase.com/organization/ticketterrier,"Secaucus, New Jersey, United States",,Active,For Profit,,,2019-01-01,year,"Air Transportation, Pet, Travel"
Innovative Binaries,https://www.crunchbase.com/organization/innovative-binaries,"Sunnyvale, California, United States","Their low cost SaaS-based data-interchange platform for aircraft operators will provide: 1. Aircraft maintenance & Inventory management compliance software 2. Predictive maintenance, fuel economy and inventory optimization early warnings The platform will combine onboard (sensor) and off-board (operational) aircraft data to perform realtime analysis. This analysis is personalized to the operator's fleet, operational constraints and operating environment, which is unlike what OEMs provide in their EHM and IVHM programs. The solution will improve aircraft safety (predict failures), reduce unscheduled activities (and hence aircraft downtimes), and improve inventory (procurement and placement) - all leading to a cascading chain of improvements and hence reduction in operating costs. The platform will demonstrate significant ROI (irrespective of the size of the fleet) and contain a large data repository on the cloud that will enable adequate data analysis to improve global aircraft safety.",Active,For Profit,,,2015-01-01,year,"Aerospace, Analytics, Artificial Intelligence, Automotive, Information Technology, Innovation Management, SaaS"
Paramount Aviation Resources Group,https://www.crunchbase.com/organization/paramount-aviation-resources-group,"Sanford, Virginia, United States",,Active,For Profit,,,2018-01-01,year,"Aerospace, Ferry Service, Leasing"
FDL,https://www.crunchbase.com/organization/fdl-fbfe,"Mountain View, California, United States","FDL applies AI technologies to science to push the frontiers of research and develop new tools to help solve some of the biggest challenges that humanity faces. These range from the effects of climate change to predicting space weather, from improving disaster response to identifying meteorites that could hold the key to the history of our universe.",Active,For Profit,,,2015-01-01,year,"Aerospace, Artificial Intelligence, Machine Learning, Software"
Aerie Aerospace,https://www.crunchbase.com/organization/aerie-aerospace,"Huntsville, Alabama, United States","Aerie Aerospace  is a joint venture formed by Aetos Systems, and Aerie offers experience in engineering, technical, and IT services and is designed to offer the best attributes of the parent companies. The company has an exceptional past performance history supporting both NASA and the DoD. It was formed to provide its customers with synergistic management and technically strong, proven solutions.Engineering and Technical Services, Engineering,and System Acquisition Support, Information Technology and Software Services  Building Automation, Energy Management, Materials Acquisition and Logistics Support, Modeling and Simulation, Educational Services and Technology Support, Curriculum Development, Distance Learning, and Training Support Services.",Active,For Profit,,,2015-01-01,year,"Aerospace, Mechanical Engineering, Technical Support"
Mint Air,https://www.crunchbase.com/organization/mint-air,"Carlsbad, California, United States",,Active,For Profit,,,2018-01-01,year,"Air Transportation, Financial Services, Leasing"
URBINEER,https://www.crunchbase.com/organization/urbineer,"Los Angeles, California, United States",,Active,For Profit,,,2018-01-01,year,"Aerospace, Manufacturing, Mechanical Engineering"
Volatus Group,https://www.crunchbase.com/organization/volatus-group,"Pendleton, Oregon, United States",,Active,For Profit,,,2020-01-01,year,"Aerospace, Consulting, Training"
The Departure Club,https://www.crunchbase.com/organization/the-departure-club,"Scottsdale, Arizona, United States",,Active,For Profit,,,2016-01-01,year,"Air Transportation, E-Commerce, Subscription Service"
AeroParts Now,https://www.crunchbase.com/organization/aeroparts-now,"Savannah, Georgia, United States","Designed from the ground up to accelerate the parts sales cycle, AeroParts Now™ helps parts sellers reach their target markets, achieve business objectives, and reduce excess inventory. AeroParts Now synchronizes inventory with popular third-party marketplaces, streamlines the quoting process and customer communications, and enables direct-to-customer transactions through branded web and mobile storefronts. AeroParts Now’s software-as-a-service model offers parts sellers greater flexibility and lower overall costs over existing or custom home-grown solutions. Customers can add new services as needed, and or add custom features with professional services. Sign up for a live demo and a free two-week trial today at aeropartsnow.com/demo.",Active,For Profit,,,2018-01-01,day,"Aerospace, Air Transportation, E-Commerce, Hardware, SaaS"
Drone Arrival,https://www.crunchbase.com/organization/drone-arrival,"Chicago, Illinois, United States",,Active,For Profit,,,2017-01-01,year,"Aerospace, Consulting, Industrial Manufacturing, Training"
Skyport Drones,https://www.crunchbase.com/organization/skyport-drones,"Raleigh, North Carolina, United States",,Active,For Profit,,,2015-01-01,year,"Aerospace, Mapping Services, Navigation"
Response Technologies,https://www.crunchbase.com/organization/response-technologies,"Cumberland, Rhode Island, United States","Response Technologies, LLC is dedicated to serving the material science and additive manufacturing needs of the national defense, energy, aerospace, automotive & transportation, and consumer product industries.",Active,For Profit,Non-equity Assistance,,2015-01-01,year,"Advanced Materials, Aerospace, Local, Manufacturing"
Bradshaw Propulsion,https://www.crunchbase.com/organization/bradshaw-propulsion,"Los Angeles, California, United States","Design Jet Engines, Innovation is what will create a profit while existing companies dull innovation and encourage safe incremental change.",Active,For Profit,Equity Crowdfunding,,2015-01-15,day,"Air Transportation, Mechanical Engineering, Software Engineering"
StraightLine,https://www.crunchbase.com/organization/straightline-2944,"Denver, Colorado, United States",,Active,For Profit,,,2016-01-01,year,"Aerospace, Leisure, Travel"
BrockTek,https://www.crunchbase.com/organization/brocktek,"Tucson, Arizona, United States","BrockTek is an engineering and manufacturing company that specializes in the research, design, development and operation of unmanned aircraft systems, subsystems and components.    BrockTek believes in innovation and diversification, and the vast portfolio of products, services, and work they perform attests to the creative, collaborative, and entrepreneurial spirit that is the foundation of their organization. ​ BrockTek UAS products and service offerings work to help Government Entities, Defense Agencies, and Civilian & Commercial Organizations gather intelligence, collect data, fill informational gaps, identify areas of opportunity, enhance planning, manage resources, mitigate risk, and drive growth.",Active,For Profit,,,2015-01-01,year,"Aerospace, Manufacturing, Service Industry"
Air EMS,https://www.crunchbase.com/organization/air-ems,"Tulsa, Oklahoma, United States","Air EMS provides emergency and non-emergency patient services, education, training, communication center, and medical management services. Their medical management services offers comprehensive program support capabilities to corporations and government agencies in both prime and sub-contractor roles, in addition to their air and ground medical transport capabilities.",Active,For Profit,,,2015-01-01,year,"Air Transportation, Health Care, Logistics"
Innovative Handling Solutions,https://www.crunchbase.com/organization/innovative-handling-solutions,"Minneapolis, Minnesota, United States","Innovative Handling Solutions offers aircraft handling, baggage service, passenger service, ground security coordinators, queue line management, porter service, aircraft cleaning, charter handling, security, cargo handling, customs processing, and passenger luggage cart service.",Active,For Profit,,,2018-01-01,year,"Aerospace, Customer Service, Security"
Rinicom Intelligent Solutions,https://www.crunchbase.com/organization/rinicom-intelligent-solutions,"Lancaster, Pennsylvania, United States","Rinicom Intelligent Solutions Ltd (RIS) is a start-up founded in 2019 as a spin-off from Rinicom Ltd, with the goal of leveraging unique experience and expertise in developing artificial intelligence and video analytics solutions for security and healthcare applications.",Active,For Profit,,,2020-01-01,year,"Aerospace, Artificial Intelligence"
"Arcflash Labs, LLC",https://www.crunchbase.com/organization/arcflash-labs-llc,"Los Angeles, California, United States",,Active,For Profit,,,2017-08-01,day,"Aerospace, Electronics, Manufacturing"
Saint Industries,https://www.crunchbase.com/organization/saint-industries,"Simi Valley, California, United States",,Active,For Profit,,,2017-01-01,year,"Aerospace, Industrial, Training"
DocLaunch,https://www.crunchbase.com/organization/doclaunch,"Milwaukee, Wisconsin, United States",,Active,For Profit,,,2016-01-01,day,"Aerospace, Asset Management, Information Technology, Software"
MedX Airone,https://www.crunchbase.com/organization/medx-airone,"Elko, Nevada, United States","MedX AirOne is an emergency air medical company. They provide this community service is considered a privilege. Saving time means saving heart muscle, brain tissue, and organ function. The staff, aviation, patient, and community safety collaborated with extraordinary superiority of patient care. The customer queries were answered through email, phone, and text.",Active,For Profit,,,2015-01-01,year,"Air Transportation, Emergency Medicine, Health Care, Medical Device, Quality Assurance"
SoCal Pilot Center,https://www.crunchbase.com/organization/socal-pilot-center,"Thermal, California, United States","SoCal Pilot Center is a flight training center, that provides the most personalized flight training including a state-of-the-art glass cockpit fleet and full-motion simulators, and providing an unforgettable training experience.",Active,For Profit,,,2015-01-01,year,"Aerospace, Air Transportation, Education, Training"
FusionFlight,https://www.crunchbase.com/organization/fusionflight,"Dallas, Texas, United States",,Active,For Profit,,,2016-01-01,year,"Aerospace, Manufacturing"
Full Throttle Aerial,https://www.crunchbase.com/organization/full-throttle-aerial,"Tomball, Texas, United States",,Active,For Profit,,,2016-03-01,month,"Aerospace, Industrial, Manufacturing"
TripMatters,https://www.crunchbase.com/organization/tripmatters,"Tustin, California, United States","Tripmatters is a travel management firm. They provide business travel, custom vacations, meetings, events, and VIP travel. Their services include unused ticket tracking, travel policy management, elite traveler status upgrades, and assistance with the airline.",Active,For Profit,,,2017-01-01,year,"Air Transportation, Service Industry, Travel, Travel Agency"
NorthStar Technologies,https://www.crunchbase.com/organization/northstar-technologies-8647,"Bridgeport, West Virginia, United States","NorthStar Technologies is a supplier of aircraft spare parts. Their products includes quality controlled parts, airframe, reputable traces, certifications, hardware, complex parts, power plans, and engines parts. They offers customer support through email and phone contact",Active,For Profit,,,2018-01-01,year,"Aerospace, Hardware, Wholesale"
VSE Aviation,https://www.crunchbase.com/organization/vse-aviation-bbab,"Miramar Beach, Florida, United States",,Active,For Profit,,,2015-01-01,year,"Aerospace, Industrial, Manufacturing"
Aero Television,https://www.crunchbase.com/organization/aero-television,"Denver, Colorado, United States","Aero Television provides television network programming, aviation and aerospace content creation, and television production srvices for aviation and aerospace network.",Active,For Profit,,,2015-01-01,year,"Aerospace, Film, Media and Entertainment, TV Production"
Luther Industries,https://www.crunchbase.com/organization/luther-industries,"Tampa, Florida, United States",,Active,For Profit,,,2018-01-01,year,"Aerospace, Electronics, Industrial, Manufacturing"
Hover,https://www.crunchbase.com/organization/hover-15fe,"Seattle, Washington, United States",,Active,For Profit,,,2019-01-01,year,"Aerospace, Hardware, Software"
Prism Aerospace,https://www.crunchbase.com/organization/prism-aerospace,"Corona, California, United States",,Active,For Profit,,,2016-02-25,day,"Aerospace, Consulting, Machinery Manufacturing, Manufacturing"
EquityJet,https://www.crunchbase.com/organization/equityjet,"Kansas City, Missouri, United States",,Active,For Profit,,,2018-01-01,year,"Aerospace, Consulting, Training"
AV8 Flight School,https://www.crunchbase.com/organization/av8-flight-school,"Eden Prairie, Minnesota, United States",AV8 Flight School is an aviation education center. They offer both fixed wing airplane and rotary wing helicopter training. They also offer the M-1 visa programme for international flight students.,Active,For Profit,,,2019-01-01,year,"Aerospace, Air Transportation, Training"
Mallium,https://www.crunchbase.com/organization/mallium,"St Louis, Missouri, United States","Mallium is a tech company that has developed a proprietary metamaterial composed of different materials that can be programmed to change its physical properties, specifically its rigidity with minimum power requirements, instantly and reversibly.  The company has licensed this technology in the medical device and aerospace and defense industries. We are seeking a partnership with Ameren for the energy sector. ",Active,For Profit,,"Women Founded, Women Led",2016-02-01,day,"Aerospace, Automotive, CleanTech, Energy, Medical, Medical Device, Transportation"
Eurufly,https://www.crunchbase.com/organization/eurufly,"Salisbury, North Carolina, United States","Eurufly provides travel services. They offer an aviation business model through the mechanisms of blockchain infrastructures, mobile device networking, and open-API flight data streams.",Active,For Profit,,,2017-01-01,year,"Aerospace, Air Transportation, Travel"
Right Rudder Aviation,https://www.crunchbase.com/organization/right-rudder-aviation,"Inverness, Florida, United States",,Active,For Profit,,,2016-01-01,year,"Aerospace, Service Industry, Training"
Sine Draco,https://www.crunchbase.com/organization/sine-draco,"Bellevue, Washington, United States",,Active,For Profit,,,2017-01-01,year,"Aerospace, Air Transportation, Freight Service"
Orlando O Spencer I,https://www.crunchbase.com/organization/orlando-o-spencer-i,"San Diego, California, United States",,Active,For Profit,,,2016-01-01,year,"Aerospace, Information Technology, Software"
designial,https://www.crunchbase.com/organization/designial,"San Ramon, California, United States","We build business mobile apps that deliver measurable business results. We design and develop research-based apps on multiple platforms, including iOS, Android, and web. Our customer-facing apps boost customer engagement, elevate your brand, increase sales, boost profits, and increase the valuations of start-ups. Our employee-facing apps increase staff efficiency, boost employee productivity, eliminate errors, lower costs, and improve staff retention. We partner with the business of all sizes from startups to Fortune 500 enterprises to launch fantastic products. We are expert researchers, designers, and specialist front-end developers. Our team has built 100s of applications in a wide variety of sectors including, finance, healthcare, pharmaceuticals, retail, transportation, etc.",Active,For Profit,,,2018-01-01,year,"Air Transportation, Android, Apps, Health Care, Information Technology, iOS, Media and Entertainment, Mobile, Mobile Apps, Pharmaceutical, Product Research, Retail Technology, Transportation, UX Design, Web Apps"
